,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
0,2019pqt,"['2019pqt', 'Gaia19dya', 'MAXI J1807+132', 'ZTF 18abxftqm']",272d01m53.235s,13d15m05.4s,"['2017ATel10216....1K', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017ATel.9988....1N', '2021MNRAS.501..261A', '2023PASP..135c4101G', '2018ATel12263....1V', '2019TNSTR1760....1H']",2017-03-15 00:00:00.000,,True,False,/home/nfranz/radio-ecle/.otter/MAXI-J1807+132.json
1,SDSSJ1323,"['SDSSJ1323+48', 'SDSS J1323', 'SDSSJ1323']",200d55m29.55s,48d27m01.26s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2007A&A...462L..49E', '2017ApJ...835...64G', '2017IAUS..324..123S', '2023PASP..135c4101G', '2013ApJ...763...84B', '2020SSRv..216...81A']",2003-12-02 00:00:00.000,0.08754,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ1323.json
2,SRGE J013204.6+122236,['SRGE J013204.6+122236'],23d01m07.23s,12d22m35.6232s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-07-08 00:00:00.000,0.132,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J013204.6+122236.json
3,AT2016ezh,"['AT 2016ezh', 'CSS160902:015805-005222', 'AT2016ezh', 'PS16dtm (2016ezh)', 'SN2016ezh', 'PS16dtm']",29d31m15s,-0d52m22s,"['2017arXiv170307816B', '2017ApJ...843..106B', '2016A&A...594A..13P', '2014Ap&SS.354...89B', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W', '2017NatAs...1..865K', '2021ApJ...910...83H', '2023PASP..135c4101G', '2016TNSTR.562....1C', '2020SSRv..216...81A', '2023arXiv230813595C']",2016-08-26 00:00:00.000,0.0804,True,False,/home/nfranz/radio-ecle/.otter/AT2016ezh.json
4,2022exr,"['ATLAS22jix', '2022exr', 'Gaia22cgf', 'ZTF22aadgefj', 'AT2022exr']",262d27m37.66464s,25d50m31.79148s,"['2022TNSCR1202....1H', '2024MNRAS.527.2452M', '2022TNSTR.743....1T', '2024arXiv240712097A']",59658.61201,0.0955,True,False,/home/nfranz/radio-ecle/.otter/AT2022exr.json
5,AT2021dms,['AT2021dms'],50d21m01.035s,-11d08m45.71s,"['2024MNRAS.528.4775H', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2459266.645706,0.031102,True,False,/home/nfranz/radio-ecle/.otter/AT2021dms.json
6,2021crk,"['2021crk', 'ATLAS21hdc', 'PS21cpw', 'ZTF21aakfqwq', 'AT2021crk']",176d16m43.61088s,18d32m25.32408s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR.422....1F', '2023TNSCR2004....1Y']",59252.48956019676,0.155,True,False,/home/nfranz/radio-ecle/.otter/AT2021crk.json
7,SDSSJ0748,"['SDSS_J0748', 'SDSSJ0748', 'SDSS J0748']",117d05m10.002s,47d12m14.2648s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2011ApJ...740...85W', '2023PASP..135c4101G', '2024arXiv240216951C', '15B-247', '17A-368', 'VLASS 1.2', 'VLASS 2.2', 'WISE', '2024MNRAS.528.7076C']",2003-10-23 00:00:00.000,0.0615,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ0748.json
8,2017bcc,"['2017bcc', 'ZTF20aacbwbm', 'SN2017bcc', 'AT2017bcc', 'SN 2017bcc', 'PS17bgn']",172d58m14.813832s,29d59m44.8267578s,"['2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017ATel11049....1S', '2023PASP..135c4101G', '2017TNSTR.220....1C', '2017TNSCR.221....1B']",2017-02-18 00:00:00.000,0.133,True,False,/home/nfranz/radio-ecle/.otter/SN2017bcc.json
9,2016fnl,"['2016fnl', 'iPTF 16fnl', 'AT2016fnl', 'iPTF-16fnl', 'iPTF16fnl']",7d29m15.6s,32d53m37.5s,"['2017ApJ...844...46B', '2017ApJ...838..149A', '2016ATel.9433....1G', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2016TNSTR.611....1K', '2024arXiv240712097A', '2021ApJ...920L...5H', '2023arXiv230813595C', '2016TNSCR.615....1Y']",2016-08-26 00:00:00.000,0.0163,True,False,/home/nfranz/radio-ecle/.otter/iPTF16fnl.json
10,2022cmc,"['2022cmc', 'ZTF22aaajecp', 'AT2022cmc']",203d40m48.105s,33d13m00.54s,"['2022Natur.612..430A', '2022TNSTR.397....1A', '2023MNRAS.521..389R']",2459621.946,1.19325,True,False,/home/nfranz/radio-ecle/.otter/AT2022cmc.json
11,2018lni,"['2018lni', 'ZTF18actaqdw', 'AT2018lni']",62d24m24.7824s,73d53m41.658s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2019TNSTR.379....1F']",58450.37,0.138,True,False,/home/nfranz/radio-ecle/.otter/AT2018lni.json
12,3XMM J215022.4-055108,['3XMM J215022.4-055108'],327d35m30s,-5d51m08s,"['2018NatAs...2..656L', '2023PASP..135c4101G']",2005-05-01 00:00:00.000,0.055,False,False,/home/nfranz/radio-ecle/.otter/3XMM-J215022.4-055108.json
13,2020mot,"['2020mot', 'Gaia20ead', 'ZTF20abfcszi', 'AT2020mot']",7d48m23.8212s,85d00m31.9644s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR1791....1F', '2020TNSCR2478....1H']",59014.39380790509,0.07,True,False,/home/nfranz/radio-ecle/.otter/AT2020mot.json
14,PTF09djl,"['PTF 09djl', 'PTF-09djl', 'PTF09djl']",248d28m59.1s,30d14m16.3s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2017MNRAS.472L..99L', '2023PASP..135c4101G']",2009-07-24 00:00:00.000,0.184,True,False,/home/nfranz/radio-ecle/.otter/PTF09djl.json
15,ASASSN-14ae,"['iPTF14aiv', 'ASASSN-14ae']",167d10m01.65s,34d05m52.4s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014MNRAS.445.3263H', '2014ApJ...793...38A', '2014ATel.5831....1P', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2023arXiv230813595C']",2014-01-25 00:00:00.000,0.043671,True,False,/home/nfranz/radio-ecle/.otter/ASASSN-14ae.json
16,iPTF16axa,"['iPTF-16axa', 'iPTF 16axa', 'iPTF16axa']",255d53m35.4s,30d35m36.8s,"['2017ApJ...842...29H', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2023arXiv230813595C']",2016-05-29 00:00:00.000,0.108,True,False,/home/nfranz/radio-ecle/.otter/iPTF16axa.json
17,Gaia 16ajq,['Gaia 16ajq'],223d15m30s,42d21m28s,"['2016TNSTR.480....1D', '2017IAUS..324..127W', '2023PASP..135c4101G']",2016-03-29 00:00:00.000,0.28,False,False,/home/nfranz/radio-ecle/.otter/Gaia-16ajq.json
18,2021sdu,"['2021sdu', 'ATLAS21bbpg', 'ZTF21abjrysr', 'AT2021sdu']",17d50m57.7284s,50d34m29.70912s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR2318....1M', '2021TNSCR2712....1C', ' 2023TNSCR2004....1Y']",59400.40732640046,0.059,True,False,/home/nfranz/radio-ecle/.otter/AT2021sdu.json
19,J142401,['J142401'],216d00m24.9s,29d50m28.4s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-26 00:00:00.000,0.0855,True,False,/home/nfranz/radio-ecle/.otter/J142401.json
20,RX J1242-11A,"['RXJ1242-1119', 'RX J1242-11A']",190d39m38.25s,-11d19m20.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '1999A&A...349L..45K', 'MAST', '2017ApJ...835...64G', '2000A&A...362L..25G', '2023PASP..135c4101G', '2013ApJ...763...84B', '2020SSRv..216...81A']",1992-07-15 00:00:00.000,0.05,True,False,/home/nfranz/radio-ecle/.otter/RX-J1242-11A.json
21,WTP17aamoxe,['WTP17aamoxe'],317d14m33.6876s,-56d28m31.278s,['2024ApJ...961..211M'],,0.042,True,False,/home/nfranz/radio-ecle/.otter/WTP17aamoxe.json
