,name,bibcode,date,date_format,flux,flux_err,flux_unit,filter_eff,filter_eff_units,telescope,filter,upperlimit
0,2020vdq,2025ApJ...985..175S,59612,mjd,0.0008,0.0002,mJy,1500000000.0,Hz,VLA,L,False
1,2020vdq,2025ApJ...985..175S,59612,mjd,0.001937482738867402,0.000360061601299094,mJy,4038962179.227746,Hz,VLA,C,False
2,2020vdq,2025ApJ...985..175S,59612,mjd,0.0020152051001787186,0.00027203431418665786,mJy,4166960980.633686,Hz,VLA,C,False
3,2020vdq,2025ApJ...985..175S,59612,mjd,0.0018932815873995423,0.0002357589055522112,mJy,4294959782.039627,Hz,VLA,C,False
4,2020vdq,2025ApJ...985..175S,59612,mjd,0.0020371798891574144,0.00024324635145894717,mJy,4422958583.445567,Hz,VLA,C,False
5,2020vdq,2025ApJ...985..175S,59612,mjd,0.0019348057685419917,0.0002209826517209876,mJy,4550957384.851507,Hz,VLA,C,False
6,2020vdq,2025ApJ...985..175S,59612,mjd,0.001800697180442512,0.00024548692403768654,mJy,4678956186.257448,Hz,VLA,C,False
7,2020vdq,2025ApJ...985..175S,59612,mjd,0.0018454646924510598,0.0001894054368356592,mJy,4806954987.663389,Hz,VLA,C,False
8,2020vdq,2025ApJ...985..175S,59612,mjd,0.002000473439693451,0.00021716370868234662,mJy,4934953789.069328,Hz,VLA,C,False
9,2020vdq,2025ApJ...985..175S,59612,mjd,0.0017935887444764376,0.00019747023168602027,mJy,5062952590.475269,Hz,VLA,C,False
10,2020vdq,2025ApJ...985..175S,59612,mjd,0.001988013042137027,0.0001970445526691037,mJy,5190951391.881209,Hz,VLA,C,False
11,2020vdq,2025ApJ...985..175S,59612,mjd,0.0019055637530982494,0.00021236310469648743,mJy,5318950193.287149,Hz,VLA,C,False
12,2020vdq,2025ApJ...985..175S,59612,mjd,0.0018424359150230885,0.0001662334327236749,mJy,5446948994.69309,Hz,VLA,C,False
13,2020vdq,2025ApJ...985..175S,59612,mjd,0.0019068188266828656,0.00020872577992267906,mJy,5574947796.099031,Hz,VLA,C,False
14,2020vdq,2025ApJ...985..175S,59612,mjd,0.0018616801826283336,0.00022996500108492907,mJy,5702946597.504971,Hz,VLA,C,False
15,2020vdq,2025ApJ...985..175S,59612,mjd,0.0017958813114091754,0.0002341423587145982,mJy,5958944200.316851,Hz,VLA,C,False
16,2020vdq,2025ApJ...985..175S,59612,mjd,0.0016009282553568482,0.00024156871594459517,mJy,6038943451.195565,Hz,VLA,C,False
17,2020vdq,2025ApJ...985..175S,59612,mjd,0.0018528300570324063,0.00022755336834525222,mJy,6166942252.601505,Hz,VLA,C,False
18,2020vdq,2025ApJ...985..175S,59612,mjd,0.0015437680995091796,0.0001694144019973464,mJy,6294941054.007445,Hz,VLA,C,False
19,2020vdq,2025ApJ...985..175S,59612,mjd,0.001644836156629026,0.00018346529386471957,mJy,6422939855.413385,Hz,VLA,C,False
20,2020vdq,2025ApJ...985..175S,59612,mjd,0.0017476723296567798,0.00023176598437858045,mJy,6550938656.819326,Hz,VLA,C,False
21,2020vdq,2025ApJ...985..175S,59612,mjd,0.0017126031452789903,0.00017706962804104478,mJy,6678937458.225266,Hz,VLA,C,False
22,2020vdq,2025ApJ...985..175S,59612,mjd,0.0016122240340337157,0.00018110765578076098,mJy,6806936259.6312065,Hz,VLA,C,False
23,2020vdq,2025ApJ...985..175S,59612,mjd,0.0015887162880972028,0.00016953417916884062,mJy,6934935061.0371475,Hz,VLA,C,False
24,2020vdq,2025ApJ...985..175S,59612,mjd,0.00149387470446527,0.00016026314184891817,mJy,7062933862.443089,Hz,VLA,C,False
25,2020vdq,2025ApJ...985..175S,59612,mjd,0.0014787591062486172,0.0001663100767371361,mJy,7190932663.849029,Hz,VLA,C,False
26,2020vdq,2025ApJ...985..175S,59612,mjd,0.0014770266134291887,0.000156994781679532,mJy,7318931465.254969,Hz,VLA,C,False
27,2020vdq,2025ApJ...985..175S,59612,mjd,0.0014369345735758543,0.0001599184002046968,mJy,7446930266.66091,Hz,VLA,C,False
28,2020vdq,2025ApJ...985..175S,59612,mjd,0.0016062913928180933,0.0001713363800829029,mJy,7574929068.066849,Hz,VLA,C,False
29,2020vdq,2025ApJ...985..175S,59612,mjd,0.0013384700287133455,0.00013511816387472208,mJy,7702927869.47279,Hz,VLA,C,False
