,latex_name,ra,dec,disc_date,redshift,classification,refs
13,"SDSS\,J1715",17:15:04.2893,+56:47:15.8404,2000-09-01,0.191,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
14,"SDSS\,J2220",22:20:55.7312,-07:53:17.8464,2001-10-21,0.149,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
5,"SDSS\,J1055",10:55:26.4177,+56:37:13.1010,2002-04-09,0.074,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
9,"SDSS\,J1342",13:42:44.4150,+05:30:56.1451,2002-04-09,0.0365,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
1,"SDSS\,J0748",07:48:20.6668,+47:12:14.2648,2004-02-20,0.0616,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
7,"SDSS\,J1241",12:41:34.2561,+44:26:39.2636,2004-02-27,0.0419,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
12,"SDSS\,J1459",14:59:26.0676,+40:45:38.5508,2004-05-21,0.151,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
2,"SDSS\,J0807",08:07:27.3157,+14:05:37.0892,2005-11-08,0.0738,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
4,"SDSS\,J0952",09:52:09.5629,+21:43:13.2979,2005-12-30,0.0795,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
10,"SDSS\,J1350",13:50:01.4946,+29:16:09.6460,2006-04-23,0.0777,TDE,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
8,"SDSS\,J1247",12:47:26.3719,+07:05:25.0809,2006-05-21,0.104,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
3,"SDSS\,J0938",09:38:01.6376,+13:53:17.0423,2006-12-23,0.101,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
11,"SDSS\,J1402",14:02:04.7560,+29:39:46.8759,2007-03-19,0.196,Unclear,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
6,"SDSS\,J1207",12:07:19.8102,+24:11:55.8789,2008-01-19,0.0503,AGN,"{\citet{2024MNRAS.528.7076C}}, {\citet{2024MNRAS.535.1095C}}"
15,AT2017gge,16:20:34.99,+24:07:26.5,2017-08-03,0.0665,TDE,"{\citet{2017TNSTR.895....1T}}, {\citet{2022MNRAS.517...76O}}"
19,AT2018bcb,22:43:42.871,-16:59:08.49,2018-04-27,0.1192,TDE,"{\citet{2018TNSTR.555....1B}}, {\citet{2020MNRAS.494.2538N}}"
23,AT2018dyk,15:33:08.015,+44:32:08.20,2018-05-31,0.037,TDE,"{\citet{2018TNSCR1182....1H}}, {\citet{2018TNSTR.987....1F}}"
0,AT2019qiz,04:46:37.880,-10:13:34.90,2019-09-19,0.0151,TDE,"{\citet{2019TNSCR1921....1S}}, {\citet{2019TNSTR1857....1F}}"
20,AT2020vdq,10:08:53.50,+42:42:00.40,2020-10-04,0.045,TDE,"{\citet{2020TNSTR3060....1N}}, {\citet{2023arXiv231003782S}}"
18,AT2021dms,03:21:24.069,-11:08:45.71,2021-02-21,0.031102,TDE,"{\citet{2021TNSTR.542....1F}}, {\citet{2024MNRAS.528.4775H}}"
21,AT2021qth,20:11:38.914,-21:09:36.83,2021-06-17,0.0805,TDE,"{\citet{2021TNSTR2141....1F}}, {\citet{2023ApJ...955L...6Y}}"
22,AT2021acak,10:34:47.99,+15:29:22.42,2021-10-22,0.136,TDE,"{\citet{2021TNSTR3613....1T}}, {\citet{2023RAA....23b5012L}}"
16,AT2022fpx,15:31:03.698,+53:24:19.13,2022-03-31,0.073,TDE,"{\citet{2022TNSCR1771....1P}}, {\citet{2022TNSTR.836....1T}}"
17,AT2022upj,00:23:56.86,-14:25:23.4,2022-08-31,0.054,TDE,"{\citet{2022TNSTR2690....1F}}, {\citet{2024MNRAS.535.1095C}}"
