,level_0,name,converted_flux,converted_flux_err,converted_date,converted_wave,converted_freq,converted_flux_unit,converted_date_unit,converted_wave_unit,converted_freq_unit,filter_name,obs_type,upperlimit,reference,human_readable_refs,telescope,index
0,0,SDSS_J0748,0.840919412439689,0.04204597062198445,49794.0,214137470.0,1.4,mJy,MJD,nm,GHz,L,radio,True,private,private,,
1,4,SDSS_J0748,0.414888222908101,0.020744411145405053,50538.0,208900047.38345757,1.4351,mJy,MJD,nm,GHz,L,radio,True,private,private,,
2,0,SDSS_J0748,0.13030000000000003,0.014989837390712418,57458.9162,59970485.697139435,4.999,mJy,MJD,nm,GHz,C,radio,False,private,private,,5.0
3,2,SDSS_J0748,0.09540000000000001,0.010363054568996537,57458.9162,42230237.77996901,7.099,mJy,MJD,nm,GHz,C,radio,False,private,private,,6.0
4,0,SDSS_J0748,0.0716,0.020908763712854956,57914.71674,59970485.697139435,4.999,mJy,MJD,nm,GHz,C,radio,False,private,private,,14.0
5,2,SDSS_J0748,0.0468,0.015873424331252536,57914.71674,42230237.77996901,7.099,mJy,MJD,nm,GHz,C,radio,False,private,private,,15.0
6,0,SDSS_J0748,0.19340000000000002,0.07452998658258299,57914.71674,238878452.58964145,1.255,mJy,MJD,nm,GHz,L,radio,False,private,private,,8.0
7,2,SDSS_J0748,0.1977,0.0668350448866461,57914.71674,182355509.7323601,1.644,mJy,MJD,nm,GHz,L,radio,False,private,private,,9.0
8,0,SDSS_J0748,0.1148,0.03704736967721191,57914.71674,115349156.59869179,2.599,mJy,MJD,nm,GHz,S,radio,False,private,private,,11.0
9,2,SDSS_J0748,0.096,0.030282833420933384,57914.71674,88200193.5863489,3.399000000000001,mJy,MJD,nm,GHz,S,radio,False,private,private,,12.0
10,0,SDSS_J0748,0.06540000000000001,0.01898375358036445,57914.71674,35067546.84758451,8.549000000000001,mJy,MJD,nm,GHz,X,radio,False,private,private,,17.0
11,2,SDSS_J0748,0.036000000000000004,0.011047624178980748,57914.71674,27256337.66706064,10.999,mJy,MJD,nm,GHz,X,radio,False,private,private,,18.0
12,1,SDSS_J0748,0.482413818157093,0.024120690907854653,58619.7566640625,99930819.33333333,3.0,mJy,MJD,nm,GHz,S,radio,True,private,private,,
13,3,SDSS_J0748,0.381451176965443,0.01907255884827215,59542.4144427083,99930819.33333333,3.0,mJy,MJD,nm,GHz,S,radio,True,private,private,,
14,2,SDSS_J0748,0.39687649592172,0.019843824796086,60468.8765625,99930819.33333333,3.0,mJy,MJD,nm,GHz,S,radio,True,private,private,,
