,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,1.9462706081846518e+18,4.741961012249519e+50,5.656535268426803e+16,2.0428451722083662e+49,5.656535268426803e+16,2.0428451722083662e+49,2
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,9.92842305360645e+17,3.33707584611753e+50,2049321673505408.0,2.660845477944729e+48,2049321673505408.0,2.660845477944729e+48,2
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,6.958705134817224e+17,1.6920578049264048e+50,844243070191360.0,7.042120167832771e+47,844243070191360.0,7.042120167832771e+47,2
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,1.868734229547075e+19,1.8427286627054082e+50,1.1762585750916506e+18,1.3445142745299919e+49,1.1762585750916506e+18,1.3445142745299919e+49,2
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,4.224422366773805e+18,1.3114269782627472e+51,1.275262013323602e+17,6.895101162034817e+49,1.275262013323602e+17,6.895101162034817e+49,2
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,3.8537648065117184e+18,1.0760766187540319e+51,1.7410768716721e+17,6.816190773255457e+49,1.7410768716721e+17,6.816190773255457e+49,2
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,6.677217360834659e+18,1.6672074088039754e+51,2.888410011531807e+17,7.523998679733712e+49,2.888410011531807e+17,7.523998679733712e+49,2
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,3.631429238182902e+18,6.801805538881436e+49,3.041293690268754e+17,7.123581805089507e+48,3.041293690268754e+17,7.123581805089507e+48,2
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,7.994732025575574e+18,7.514187520615428e+49,6.709340968598098e+17,7.29093915576535e+48,6.709340968598098e+17,7.29093915576535e+48,2
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,2.3352718572564004e+18,1.3262294539993422e+50,7.321055009209958e+16,6.019618240172431e+48,7.321055009209958e+16,6.019618240172431e+48,3
