,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
0,2019pqt,"['2019pqt', 'Gaia19dya', 'MAXI J1807+132']",272d01m53.235s,13d15m05.4s,"['2017ATel10216....1K', '2011ApJ...737..103S', '2017ApJ...835...64G', '2019TNSTR1760....1H']",2017-03-27 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/MAXI-J1807+132.json,
1,SDSSJ1323,['SDSSJ1323'],200d55m29.55s,48d27m01.26s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2007A&A...462L..49E', '2017ApJ...835...64G']",2003-12-02 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSSJ1323.json,0.08754
2,AT2016ezh,"['AT2016ezh', 'CSS160902:015805-005222', 'SN2016ezh', 'PS16dtm', 'PS16dtm (2016ezh)']",29d31m15s,-0d52m22s,"['2017arXiv170307816B', '2017ApJ...843..106B', '2016A&A...594A..13P', '2014Ap&SS.354...89B', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W']",2016-08-26 15:07:12.000,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2016ezh.json,0.08
3,2022exr,"['ZTF22aadgefj', '2022exr', 'Gaia22cgf', 'ATLAS22jix', 'AT2022exr']",262d27m37.66464s,25d50m31.79148s,"['2022TNSCR1202....1H', '2024MNRAS.527.2452M', '2022TNSTR.743....1T']",59658.61201,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022exr.json,0.0955
4,AT2021dms,['AT2021dms'],50d21m01.035s,-11d08m45.71s,"['2024MNRAS.528.4775H', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2459266.645706,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021dms.json,0.031102
5,2021crk,"['PS21cpw', 'ATLAS21hdc', '2021crk', 'ZTF21aakfqwq', 'AT2021crk']",176d16m43.61088s,18d32m25.32408s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR.422....1F', '2023TNSCR2004....1Y']",59252.48956019676,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2021crk.json,0.155
6,SDSSJ0748,"['SDSS_J0748', 'SDSSJ0748']",117d05m10.05s,47d12m14.23s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2024arXiv240216951C', '15B-247', '17A-368', 'VLASS 1.2', 'VLASS 2.2', 'WISE', '2024MNRAS.528.7076C']",2004-02-20 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SDSSJ0748.json,0.0615
7,2017bcc,"['2017bcc', 'ZTF20aacbwbm', 'SN2017bcc', 'AT2017bcc', 'PS17bgn']",172d58m15.6s,29d59m45.24s,"['2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017TNSTR.220....1C', '2017TNSCR.221....1B']",2017-02-18 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/SN2017bcc.json,0.148
8,2016fnl,"['2016fnl', 'AT2016fnl', 'iPTF-16fnl', 'iPTF16fnl']",7d29m15.6s,32d53m37.5s,"['2017ApJ...844...46B', '2017ApJ...838..149A', '2016ATel.9433....1G', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2016TNSTR.611....1K', '2016TNSCR.615....1Y']",57629.422997685186,True,False,/home/nfranz/radio-ecle/ecle-otter/iPTF16fnl.json,0.0163
9,2022cmc,"['2022cmc', 'ZTF22aaajecp', 'AT2022cmc']",203d40m48.105s,33d13m00.54s,"['2022Natur.612..430A', '2022TNSTR.397....1A']",59621.45,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022cmc.json,1.19325
10,2018lni,"['ZTF18actaqdw', '2018lni', 'AT2018lni']",62d24m24.7824s,73d53m41.658s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2019TNSTR.379....1F']",58450.37,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018lni.json,0.138
11,2020mot,"['2020mot', 'Gaia20ead', 'ZTF20abfcszi', 'AT2020mot']",7d48m23.8212s,85d00m31.9644s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR1791....1F', '2020TNSCR2478....1H']",59014.39380790509,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2020mot.json,0.07
12,PTF09djl,"['PTF-09djl', 'PTF09djl']",248d28m59.1s,30d14m16.3s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W']",2009-07-24 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/PTF09djl.json,0.184
13,ASASSN-14ae,"['iPTF14aiv', 'ASASSN-14ae']",167d10m01.65s,34d05m52.4s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014MNRAS.445.3263H', '2014ApJ...793...38A', '2014ATel.5831....1P', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W']",2014-01-25 12:14:24.000,True,False,/home/nfranz/radio-ecle/ecle-otter/ASASSN-14ae.json,0.043671
