name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
2019qiz,2018-01-10 5:44:01,58128.2389,mjd,B,S,3,GHz,0.3543250914,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
2019qiz,2023-03-25 0:11:29,60028.00797,mjd,B,S,3,GHz,0.5035892387,0,mJy,TRUE,VLASS 3.1,VLASS 3.1,TRUE,
2019qiz,2020-10-20 10:14:16,59142.42657,mjd,B,S,3,GHz,0.5405177234,0,mJy,TRUE,VLASS 2.1,VLASS 2.1,TRUE,
AT2017gge,2017-11-24 17:51:31,58081.74411,mjd,B,S,3,GHz,0.3354850856,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
AT2017gge,2023-03-01 9:40:17,60004.40297,mjd,B,S,3,GHz,0.4590184079,0.1245654282,mJy,FALSE,VLASS 3.1,VLASS 3.1,TRUE,
AT2017gge,2020-09-04 1:49:24,59096.07597,mjd,B,S,3,GHz,0.4465423062,0.1426225361,mJy,FALSE,VLASS 2.1,VLASS 2.1,TRUE,
AT2018bcb,2019-07-06 11:02:42,58670.46021,mjd,B,S,3,GHz,0.4879393212,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
AT2018bcb,2022-02-04 20:21:35,59614.84832,mjd,B,S,3,GHz,0.5452903106,0,mJy,TRUE,VLASS 2.2,VLASS 2.2,TRUE,
AT2018bcb,2022-02-04 19:59:34,59614.83304,mjd,B,S,3,GHz,0.4497117846,0.1485594246,mJy,FALSE,VLASS 2.2,VLASS 2.2,TRUE,
AT2018bcb,2019-07-06 11:32:39,58670.481,mjd,B,S,3,GHz,0.5048942963,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
AT2018dyk,2021-11-22 13:55:36,59540.58028,mjd,B,S,3,GHz,0.533881211,0,mJy,TRUE,VLASS 2.2,VLASS 2.2,TRUE,
AT2018dyk,2019-03-28 11:02:46,58570.46026,mjd,B,S,3,GHz,0.3675700708,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
AT2020vdq,2021-10-09 13:32:19,59496.56411,mjd,B,S,3,GHz,0.3486923278,0,mJy,TRUE,VLASS 2.2,VLASS 2.2,TRUE,
AT2020vdq,2019-05-25 21:26:31,58628.89342,mjd,B,S,3,GHz,0.4455990714,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
AT2021acak,2017-10-06 12:53:04,58032.53686,mjd,B,S,3,GHz,0.3209016413,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
AT2021acak,2020-10-11 12:58:08,59133.54037,mjd,B,S,3,GHz,0.3763321429,0,mJy,TRUE,VLASS 2.1,VLASS 2.1,TRUE,
AT2021acak,2023-01-29 11:05:58,59973.46248,mjd,B,S,3,GHz,0.3809256103,0,mJy,TRUE,VLASS 3.1,VLASS 3.1,TRUE,
AT2021dms,2022-02-01 2:08:25,59611.08918,mjd,B,S,3,GHz,0.5763428221,0.1333804798,mJy,FALSE,VLASS 2.2,VLASS 2.2,TRUE,
AT2021dms,2019-05-08 20:30:17,58611.85437,mjd,B,S,3,GHz,0.528194968,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
AT2021qth,2020-11-01 0:03:23,59154.00235,mjd,B,S,3,GHz,0.4651683069,0.1402138915,mJy,FALSE,VLASS 2.1,VLASS 2.1,TRUE,
AT2021qth,2018-02-18 17:14:53,58167.71867,mjd,B,S,3,GHz,0.3956265671,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
