name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J0748,,57458.9162,mjd,,C (IF 1-8),4.999,GHz,130.3,13.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0748,,57458.9162,mjd,,C (IF 9-16),7.099,GHz,95.4,9.2,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0748,,57458.9162,mjd,,C (all_8bit),5.957,GHz,112.1,7.5,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J0748,,57914.71674,mjd,,L1,1.255,GHz,193.4,73.9,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,L2,1.644,GHz,197.7,66.1,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,L (all),1.45,GHz,215.6,58.8,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0748,,57914.71674,mjd,,S (IF 1-8),2.599,GHz,114.8,36.6,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,S (IF 9-16),3.399,GHz,96,29.9,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,S (all),2.999,GHz,108.5,25.8,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0748,,57914.71674,mjd,,C (IF 1-8),4.999,GHz,71.6,20.6,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,C (IF 9-16),7.099,GHz,46.8,15.7,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,C (all_3bit),6.199,GHz,58.9,12.2,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0748,,57914.71674,mjd,,X (IF 1-8),8.549,GHz,65.4,18.7,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,X (IF 9-16),10.999,GHz,36,10.9,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,,57914.71674,mjd,,X (all),9.774,GHz,49.3,12.5,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0938,,57459.04178,mjd,,C (IF 1-8),4.999,GHz,1092.4,28.3,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0938,,57459.04178,mjd,,C (IF 9-16),7.099,GHz,745.3,25.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0938,,57459.04178,mjd,,C (all_8bit),5.957,GHz,926.1,40,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J0938,,57911.79545,mjd,,L1,1.255,GHz,3421.8,196.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,L2,1.644,GHz,2526.6,130.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,L (all),1.45,GHz,2752.3,106.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,,57911.79545,mjd,,S (IF 1-8),2.599,GHz,1629.1,159.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,S (IF 9-16),3.399,GHz,1191.9,141.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,S (all),2.999,GHz,1451.1,157.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,,57911.79545,mjd,,C (IF 1-8),4.999,GHz,970.6,58.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,C (IF 9-16),7.099,GHz,589.7,37.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,C (all_3bit),6.199,GHz,815.1,51.4,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,,57911.79545,mjd,,X (IF 1-8),8.549,GHz,479.3,35.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,X (IF 9-16),10.999,GHz,295.4,40.4,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,,57911.79545,mjd,,X (all),9.774,GHz,424.1,38.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,,2451526.264,jd,,L,1.4,GHz,1.93,0.150000006,mJy,FALSE,2011ApJ...737...45O,2011ApJ...737...45O,TRUE,
SDSS_J0952,,57459.29113,mjd,,C (IF 1-8),4.999,GHz,58.7,12.9,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0952,,57459.29113,mjd,,C (IF 9-16),7.099,GHz,34.7,8.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0952,,57459.29113,mjd,,C (all_8bit),5.957,GHz,49.5,5.2,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
