Name,t,p,epsilon_e,epsilon_B,nu_a,nu_a_error,nu_m,nu_m_error,Fp_mJy,Fp_mJy_error,dist_Mpc,z
CNSSJ0019+00,573,3.3,0.1,0.1,4.26,0.04,-99.99,-99.99,8.27,0.03,77.1,0.018
CNSSJ0019+00,606,3.3,0.1,0.1,3.87,0.03,-99.99,-99.99,8.08,0.04,77.1,0.018
CNSSJ0019+00,731,3.3,0.1,0.1,3.12,0.04,-99.99,-99.99,7.41,0.06,77.1,0.018
CNSSJ0019+00,998,3.3,0.1,0.1,1.92,0.06,-99.99,-99.99,4.95,0.09,77.1,0.018
ASASSN-14li,128,3,0.1,0.1,16.8,0,-99.99,-99.99,1.91,0,90,0.0206
ASASSN-14li,143,3,0.1,0.1,8.2,0.1,-99.99,-99.99,1.76,0.01,90,0.0206
ASASSN-14li,207,3,0.1,0.1,4.37,0.2,-99.99,-99.99,1.23,0.03,90,0.0206
ASASSN-14li,246,3,0.1,0.1,4,0.06,-99.99,-99.99,1.14,0.01,90,0.0206
ASASSN-14li,304,3,0.1,0.1,2.55,0.06,-99.99,-99.99,0.94,0.02,90,0.0206
ASASSN-14li,381,3,0.1,0.1,1.91,0.07,-99.99,-99.99,0.62,0.02,90,0.0206
AT2020vwl,142,3,0.1,0.1,8.04,0.81,3.69,1,0.59,0.03,147,0.035
AT2020vwl,211,3,0.1,0.1,5.79,0.68,2.56,0.81,0.54,0.05,147,0.035
AT2020vwl,307,3,0.1,0.1,3.05,0.53,1.5,0.56,0.35,0.06,147,0.035
AT2020vwl,375,3,0.1,0.1,2.35,0.54,1.25,0.51,0.21,0.06,147,0.035
AT2020vwl,423,3,0.1,0.1,2.9,0.81,1.48,0.73,0.13,0.03,147,0.035
AT2020vwl,577,3,0.1,0.1,1.55,0.36,0.87,0.31,0.26,0.07,147,0.035
AT2020opy,50,2.7,0.1,0.1,9.6,1.2,-99.99,-99.99,0.07,0.007,765.8,0.159
AT2020opy,116,2.7,0.1,0.1,9.4,0.5,-99.99,-99.99,0.141,0.006,765.8,0.159
AT2020opy,281,2.7,0.1,0.1,4.2,0.4,-99.99,-99.99,0.28,0.02,765.8,0.159
AT2019dsg,52,2.7,0.1,0.02,15.8489319246111,3.6493514389487,-99.99,-99.99,0.47,0.09,230,0.051
AT2019dsg,55,2.7,0.1,0.02,20.8929613085404,6.25401676348105,-99.99,-99.99,0.6,0.04,230,0.051
AT2019dsg,60,2.7,0.1,0.02,18.1970085860998,1.25700482122314,-99.99,-99.99,0.67,0.01,230,0.051
AT2019dsg,80,2.7,0.1,0.02,13.8038426460289,1.90707133816689,-99.99,-99.99,0.8,0.06,230,0.051
AT2019dsg,82,2.7,0.1,0.02,10.7151930523761,0.740179313728634,-99.99,-99.99,0.65,0.03,230,0.051
AT2019dsg,130,2.7,0.1,0.02,10.2329299228075,0.942487675916374,-99.99,-99.99,1.24,0.05,230,0.051
AT2019dsg,161,2.7,0.1,0.02,9.54992586021437,0.879580676997118,-99.99,-99.99,0.98,0.04,230,0.051
AT2019dsg,188,2.7,0.1,0.02,5.12861383991366,0.472362791020326,-99.99,-99.99,1.22,0.04,230,0.051
AT2019dsg,300,2.7,0.1,0.02,3.54813389233576,0.408494010421963,-99.99,-99.99,0.79,0.04,230,0.051
AT2019dsg,561,2.7,0.1,0.02,1.69824365246175,0.43013855702732,-99.99,-99.99,0.34,0.04,230,0.051
