,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,354105100012555,45213765,2458206.6354145757,58206.1376505,17.737402,0.029042248,0,zg,71.6578366,-10.2263463,1.597,0.039,20180329137639,354,5,1,19.58,26.000448,0.040108263,-0.060272332,6.597776e-05,30.0,2.313,1
1,354105100012555,59048276,2458344.9814845603,58344.4827662,17.614267,0.026946854,0,zg,71.6578561,-10.2263798,4.778,0.48,20180814482766,354,5,1,21.02,25.825039,0.03453464,-0.014866443,1.7985809e-05,30.0,2.289,1
2,354105100012555,59646312,2458350.96232532,58350.463125,17.654194,0.027600043,0,zg,71.6578139,-10.2264294,4.666,0.567,20180820463113,354,5,1,21.16,25.78633,0.03765755,-0.009024366,2.0515765e-05,30.0,2.368,3
3,354105100012555,59646403,2458350.963239794,58350.4640394,17.65992,0.027695753,0,zg,71.6578184,-10.2263844,4.111,0.347,20180820464028,354,5,1,21.01,25.780085,0.035039026,-0.010604236,1.8213583e-05,30.0,2.348,1
4,354105100012555,60647879,2458360.9788231277,58360.4787963,17.50616,0.025296716,0,zg,71.657796,-10.2263193,1.178,0.085,20180830478796,354,5,1,19.62,26.105019,0.03978902,0.0007921417,5.370271e-05,30.0,1.713,3
5,354105100012555,60849828,2458362.998481784,58362.498287,17.46891,0.024766192,0,zg,71.6578668,-10.2263206,1.474,0.134,20180901498276,354,5,1,19.89,26.13508,0.043577228,-0.0010793221,5.258898e-05,30.0,1.542,3
6,354105100012555,60849920,2458362.999396265,58362.4992014,17.508312,0.025327936,0,zg,71.6578079,-10.226228,1.66,0.213,20180901499201,354,5,1,19.83,26.14072,0.04229037,-0.013561967,5.0954666e-05,30.0,1.538,1
7,354105100012555,60951738,2458364.017663866,58363.5173843,17.52338,0.025548385,0,zg,71.6578184,-10.2263071,1.077,0.115,20180902517373,354,5,1,19.38,26.087473,0.040666055,-0.0060717794,7.268384e-05,30.0,1.449,3
8,354105100012555,61046305,2458364.9634137666,58364.4630556,17.584253,0.026471699,32768,zg,71.6578636,-10.2263094,2.998,0.257,20180903463056,354,5,1,20.07,25.982283,0.0398424,0.0043726247,3.5899346e-05,30.0,1.757,3
9,354105100012555,61144422,2458365.944664204,58365.4442245,17.65663,0.027640702,0,zg,71.6578378,-10.2263675,3.192,0.177,20180904444201,354,5,1,20.67,26.039894,0.035700276,-0.028896488,2.065926e-05,30.0,1.936,1
10,354105100012555,61145244,2458365.9528824906,58365.4524421,17.693512,0.028267605,0,zg,71.6578751,-10.2263966,4.805,0.348,20180904452384,354,5,1,20.82,26.056974,0.03323097,-0.025285725,1.7126034e-05,30.0,1.837,3
11,354105100012555,61246331,2458366.9638345544,58366.4633102,17.596682,0.026666831,0,zg,71.6578173,-10.2263966,3.283,0.122,20180905463287,354,5,1,20.85,26.104889,0.040835205,-0.028277846,2.5724372e-05,30.0,1.706,3
12,354105100012555,61347599,2458367.976603765,58367.4759954,17.721457,0.028757146,0,zg,71.6578355,-10.2263746,5.567,0.438,20180906475868,354,5,1,21.45,26.12227,0.026995389,-0.06544718,9.89864e-06,30.0,1.593,3
