,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,1629110100009873,57918988,2458333.691255441,58333.1898843,18.871819,0.053331852,0,zg,245.1458628,24.1240735,1.796,0.283,20180803189861,1629,10,1,21.42,26.166214,0.027952824,-0.033926,9.932373e-06,30.0,1.07,2
1,1629110100009873,57919033,2458333.691706708,58333.1903356,18.87962,0.053651355,0,zg,245.1458285,24.1240621,2.483,0.31,20180803190336,1629,10,1,21.52,26.16805,0.027158482,-0.03466024,9.051956e-06,30.0,1.071,2
2,1629110100009873,75355162,2458508.0501982663,58507.5516204,18.847727,0.05235724,0,zg,245.1458449,24.1241515,1.181,0.161,20190124551609,1629,10,1,20.0,26.169802,0.03987879,-0.02483822,3.5983798e-05,30.0,1.225,2
3,1629110100009873,81851365,2458573.0165687357,58572.5136574,18.907082,0.05479152,0,zg,245.1458261,24.1240658,2.107,0.207,20190330513657,1629,10,1,21.32,26.239756,0.028626245,-0.07952417,1.0006452e-05,30.0,1.036,1
4,1629110100009873,89122195,2458645.7259759097,58645.221956,18.949846,0.056615405,0,zg,245.1458133,24.1240572,1.535,0.202,20190611221956,1629,10,1,20.76,26.153433,0.03275944,-0.038570907,1.5478407e-05,30.0,1.076,2
5,1629110100009873,89122241,2458645.7264389014,58645.222419,19.013243,0.059430014,0,zg,245.1458153,24.1240114,1.51,0.192,20190611222407,1629,10,1,20.88,26.158346,0.032556206,-0.04570726,1.4439551e-05,30.0,1.075,3
6,1629110100009873,92020812,2458674.710970354,58674.208125,18.998878,0.058780577,0,zg,245.1458691,24.1240978,1.911,0.294,20190710208125,1629,10,1,20.95,26.189438,0.03274442,-0.05158478,1.4092001e-05,30.0,1.019,2
7,1629110100009873,92020857,2458674.711421728,58674.2085764,19.018745,0.05968066,0,zg,245.1458357,24.1240927,1.758,0.235,20190710208576,1629,10,1,21.04,26.183464,0.031001236,-0.04920664,1.2663207e-05,30.0,1.019,3
8,1629110100009873,92622719,2458680.729710653,58680.2271991,18.922556,0.055444665,0,zg,245.1458972,24.1238944,0.974,0.208,20190716227188,1629,10,1,20.19,26.199308,0.04046902,-0.0327367,3.302823e-05,30.0,1.046,2
9,1629110100009873,92622765,2458680.730162011,58680.2276505,19.050304,0.06113798,0,zg,245.1457944,24.1240421,1.209,0.263,20190716227650,1629,10,1,20.34,26.199072,0.034799434,-0.024644133,2.259279e-05,30.0,1.047,3
10,1629110100009873,124524600,2458999.7502501383,58999.2460069,18.898209,0.05442051,0,zg,245.1458353,24.1241023,1.367,0.214,20200530245995,1629,10,1,20.81,26.209408,0.036994975,-0.058829326,1.9390181e-05,30.0,1.09,3
11,1629110100009873,124628890,2459000.793129029,59000.2889005,19.22598,0.06988294,0,zg,245.145819,24.1240753,2.527,0.339,20200531288900,1629,10,1,21.2,26.271318,0.03119841,-0.05721596,1.2071163e-05,30.0,1.024,3
12,1629110100009873,125526826,2459009.772314756,59009.2682639,18.792011,0.05017246,0,zg,245.1458236,24.1241164,0.998,0.101,20200609268264,1629,10,1,20.65,26.325832,0.037459325,-0.049515516,2.1000407e-05,30.0,1.022,3
13,1629110100009873,127322959,2459027.733031745,59027.2295949,19.121689,0.06456052,0,zg,245.1457901,24.1240621,2.151,0.325,20200627229595,1629,10,1,21.4,26.191975,0.032631513,-0.062977344,1.2797709e-05,30.0,1.019,3
14,1629110100009873,160033212,2459354.836449627,59354.3321296,18.672089,0.045785647,0,zg,245.1458388,24.1241724,0.255,0.003,20210520332130,1629,10,1,20.35,26.283974,0.03985815,-0.053526334,2.8196944e-05,30.0,1.019,2
15,1629110100009873,160033259,2459354.8369126255,59354.3325926,18.815784,0.051092986,0,zg,245.1460514,24.1241451,0.75,0.031,20210520332593,1629,10,1,20.34,26.282785,0.03906547,-0.044982083,2.7475426e-05,30.0,1.018,3
16,1629110100009873,160733131,2459361.8355995137,59361.3313194,19.164589,0.066703096,0,zg,245.1458003,24.1240698,0.878,0.199,20210527331319,1629,10,1,20.51,26.321434,0.03745895,-0.0541641,2.5408033e-05,30.0,1.019,2
17,1629110100009873,160733178,2459361.836062511,59361.3317824,19.134108,0.06517409,0,zg,245.1458778,24.124045,0.877,0.09,20210527331782,1629,10,1,20.46,26.346704,0.037368245,-0.03722118,2.5426038e-05,30.0,1.02,3
18,1629110100009873,193343184,2459687.9356065025,59687.4318403,19.20663,0.06886612,0,zg,245.1458202,24.1241128,0.969,0.298,20220418431840,1629,10,1,20.3,26.295881,0.037386816,-0.03434598,2.8837358e-05,30.0,1.018,2
19,1629110100009873,194345774,2459697.961808948,59697.4577431,19.095734,0.063295685,32768,zg,245.1458441,24.1241023,3.088,0.327,20220428457732,1629,10,1,22.05,26.252954,0.0371854,-0.11548611,1.6299617e-05,30.0,1.072,2
20,1629110100009873,195935307,2459713.8573851846,59713.3530787,19.067505,0.06194658,0,zg,245.1458339,24.1240204,0.623,0.184,20220514353079,1629,10,1,20.32,26.275633,0.037026,-0.026050977,2.7726974e-05,30.0,1.018,2
21,1629110100009873,200528807,2459759.79144778,59759.2880787,19.0714,0.06213107,0,zg,245.1458149,24.1240731,3.098,0.393,20220629288067,1629,10,1,21.59,26.26042,0.032715727,-0.06585057,1.3075214e-05,30.0,1.071,2
22,1629110100009873,229547578,2460049.9794345004,60049.475787,19.124933,0.06472032,0,zg,245.145798,24.1240393,2.511,0.332,20230415475775,1629,10,1,21.65,26.224518,0.03299702,-0.079198375,1.3289892e-05,30.0,1.042,2
23,1629110100009873,230641190,2460060.915916444,60060.4119097,18.919243,0.055304132,0,zg,245.1458531,24.1241607,1.72,0.261,20230426411910,1629,10,1,21.18,26.228176,0.03759011,-0.060352005,1.7776189e-05,30.0,1.018,2
24,1629110100009873,230735060,2460061.8546333835,60061.3506019,19.042564,0.06077742,0,zg,245.1457922,24.12412,2.557,0.361,20230427350602,1629,10,1,21.38,26.252508,0.030966276,-0.05336798,1.184685e-05,30.0,1.064,2
25,1629110100009873,231836177,2460072.8660177495,60072.3617708,19.196276,0.06832746,0,zg,245.1457307,24.1240904,1.228,0.301,20230508361759,1629,10,1,20.43,26.261309,0.03789938,-0.01222154,2.7071701e-05,30.0,1.02,2
26,1629110100009873,233235428,2460086.8585986407,60086.3542824,19.213268,0.06921339,0,zg,245.1457224,24.1240716,2.844,0.309,20230522354282,1629,10,1,21.68,26.231613,0.03767676,-0.07092586,1.7068676e-05,30.0,1.023,2
27,1629110100009873,234036712,2460094.8713810667,60094.3671296,19.159828,0.0664621,0,zg,245.1457932,24.1240052,1.783,0.23,20230530367130,1629,10,1,21.2,26.283623,0.030335752,-0.054503642,1.1339862e-05,30.0,1.064,2
28,1629110100009873,236726659,2460121.7701069433,60121.2665972,18.947731,0.056523815,0,zg,245.1458184,24.1241086,1.213,0.138,20230626266597,1629,10,1,20.92,26.318895,0.030021006,-0.055108503,1.2485448e-05,30.0,1.029,2
29,1629210100019451,82032880,2458574.831814573,58574.3288079,18.317581,0.029421043,32768,zr,245.1459856,24.1241035,0.935,-0.153,20190401328808,1629,10,1,19.06,24.460138,0.06362021,0.07418505,8.410168e-05,30.0,1.473,1
30,1629210100019451,83934398,2458593.8478057175,58593.3439815,18.212486,0.027587863,0,zr,245.145811,24.1240954,1.695,0.331,20190420343970,1629,10,1,20.12,26.201712,0.031273708,0.116812766,1.1547948e-05,30.0,1.125,1
31,1629210100019451,84343445,2458597.9384082546,58597.434456,18.27464,0.028650815,0,zr,245.145849,24.1240611,2.989,0.375,20190424434456,1629,10,1,21.23,26.20304,0.021349983,0.105920106,5.4035786e-06,30.0,1.026,1
32,1629210100019451,84830458,2458602.8086640183,58602.3045833,18.107277,0.025920508,0,zr,245.1458234,24.124072,2.266,0.229,20190429304583,1629,10,1,21.2,26.176462,0.020898368,0.103272595,5.2644587e-06,30.0,1.174,1
33,1629210100019451,85228469,2458606.788864914,58606.2846991,18.137218,0.026378777,0,zr,245.1458059,24.1240669,3.928,0.498,20190503284699,1629,10,1,21.39,26.13553,0.021618133,0.10725685,5.559088e-06,30.0,1.21,1
34,1629210100019451,86331254,2458617.816851357,58617.3125463,18.21607,0.027647527,0,zr,245.1457957,24.1240391,3.99,0.426,20190514312535,1629,10,1,21.21,26.16139,0.024801748,0.10810723,7.2989815e-06,30.0,1.051,1
35,1629210100019451,86422697,2458618.731289303,58618.2269792,18.356308,0.030141791,0,zr,245.1458126,24.1240713,2.2,0.297,20190515226979,1629,10,1,20.82,26.153833,0.023851175,0.10738009,6.8124987e-06,30.0,1.34,1
