,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,1334116100015281,139129188,2459145.795396341,59145.2918866,18.262169,0.037270524,0,zg,340.9286389,-16.9856665,1.396,0.099,20201023291887,1334,16,1,21.36,26.064453,0.02957648,-0.061059445,1.4753697e-05,30.0,2.286,2
1,1334116100015281,142718790,2459181.6880648728,59181.1879051,18.277502,0.037645075,0,zg,340.9283701,-16.9856844,0.377,-0.056,20201128187905,1334,16,1,19.09,26.08677,0.043642286,-0.011500668,0.00013093559,30.0,2.204,2
2,1334116100015281,142916532,2459183.6652869973,59183.1653241,18.178402,0.03530601,0,zg,340.9286653,-16.9856157,0.748,0.053,20201130165278,1334,16,1,19.13,26.06422,0.043656345,-0.03996387,0.00011837736,30.0,2.009,2
3,1334116100015281,142916578,2459183.6657498498,59183.165787,18.172354,0.035169378,0,zg,340.9286646,-16.9856489,0.743,0.015,20201130165787,1334,16,1,19.1,26.057142,0.039673265,-0.05157423,0.0001125646,30.0,2.013,3
4,1334116100015281,167141180,2459425.917063627,59425.4118056,18.432184,0.041698612,0,zg,340.9286467,-16.9856786,1.165,0.12,20210730411794,1334,16,1,20.45,25.970135,0.036738075,-0.03973719,3.1094984e-05,30.0,1.692,2
5,1334116100015281,167141226,2459425.917526544,59425.4122685,18.44605,0.042087458,0,zg,340.9287255,-16.9856531,0.802,0.112,20210730412269,1334,16,1,20.44,25.969072,0.039261933,-0.05521897,3.6512374e-05,30.0,1.691,3
6,1334116100015281,170832878,2459462.8346816786,59462.3287847,18.393862,0.040646326,0,zg,340.9286814,-16.9856759,2.494,0.316,20210905328773,1334,16,1,21.14,26.169586,0.034301583,-0.044882253,2.0531348e-05,30.0,1.689,2
7,1334116100015281,170832924,2459462.8351446725,59462.3292477,18.367924,0.039952397,0,zg,340.9286883,-16.9856779,2.958,0.253,20210905329248,1334,16,1,21.18,26.177515,0.030483447,-0.055466063,1.5948171e-05,30.0,1.689,3
8,1334116100015281,172437466,2459478.880145872,59478.3746644,18.27475,0.037577488,0,zg,340.9285272,-16.9856752,0.454,-0.066,20210921374653,1334,16,1,18.77,26.049837,0.03776226,-0.034195688,0.0001332938,30.0,2.209,2
9,1334116100015281,172637539,2459480.880794552,59480.3753935,18.281494,0.03774338,0,zg,340.928817,-16.9858929,0.763,-0.013,20210923375394,1334,16,1,19.43,25.973463,0.042086776,-0.028039593,8.6551685e-05,30.0,2.3,2
10,1334116100015281,175120857,2459505.7125034803,59505.2085764,18.28297,0.037779804,0,zg,340.9286335,-16.985611,0.997,0.192,20211018208565,1334,16,1,19.71,26.170502,0.03728968,-0.027472485,5.450446e-05,30.0,1.687,2
11,1334116100015281,176723743,2459521.7400231664,59521.2374306,18.318584,0.038672265,0,zg,340.9286604,-16.9856853,2.177,0.213,20211103237419,1334,16,1,21.11,26.153563,0.032369193,-0.055444337,1.8117536e-05,30.0,1.987,2
12,1334116100015281,177124513,2459525.747364016,59525.2451389,18.345373,0.03936092,0,zg,340.9286901,-16.9856777,1.225,0.106,20211107245127,1334,16,1,21.13,26.120804,0.029897202,-0.061831143,1.5603944e-05,30.0,2.193,2
13,1334116100015281,177324923,2459527.751273601,59527.2492361,18.264015,0.037315384,32768,zg,340.9287077,-16.9857243,0.699,0.059,20211109249213,1334,16,1,20.28,25.864847,0.039946526,-0.024485247,3.8164435e-05,30.0,2.334,2
14,1334116100015281,202641505,2459780.9197710333,59780.4150579,18.40627,0.040983453,0,zg,340.9286799,-16.9856707,1.23,0.105,20220720415046,1334,16,1,20.59,26.028225,0.036123093,-0.07209923,2.9040712e-05,30.0,1.743,2
15,1334116100015281,204836537,2459802.8710658643,59802.3653704,18.539888,0.044835586,0,zg,340.9287185,-16.9856208,0.833,0.19,20220811365370,1334,16,1,19.78,26.177698,0.03764071,-0.031192547,5.176325e-05,30.0,1.714,2
16,1334116100015281,205231248,2459806.8182837144,59806.3124884,18.53212,0.04460018,0,zg,340.9285536,-16.9857095,0.658,0.164,20220815312477,1334,16,1,19.89,26.056778,0.03888636,-0.06641371,5.1786632e-05,30.0,1.907,2
17,1334116100015281,205341310,2459807.918920663,59807.4131019,18.374016,0.040114082,0,zg,340.9286353,-16.9856698,1.259,0.214,20220816413102,1334,16,1,20.34,26.101719,0.038924932,-0.05111554,3.8203816e-05,30.0,1.746,2
18,1334116100015281,205537519,2459809.881052542,59809.3751968,18.364445,0.039860446,0,zg,340.9286753,-16.9856707,0.862,0.068,20220818375185,1334,16,1,20.75,26.053001,0.03558185,-0.049929675,2.4282077e-05,30.0,1.687,2
19,1334116100015281,205637418,2459810.8800619785,59810.3741898,18.403482,0.040907424,0,zg,340.9286438,-16.9856782,0.951,0.107,20220819374190,1334,16,1,20.64,25.972794,0.038655385,-0.021423345,3.2186086e-05,30.0,1.687,2
20,1334116100015281,205739270,2459811.8985955613,59811.3927083,18.284555,0.03781898,0,zg,340.928672,-16.9856958,1.651,0.164,20220820392708,1334,16,1,20.72,26.007544,0.03570534,-0.019573793,2.506627e-05,30.0,1.718,2
21,1334116100015281,205838224,2459812.888145699,59812.3822454,18.358053,0.03969216,0,zg,340.9286742,-16.9856987,1.465,0.104,20220821382245,1334,16,1,20.98,26.078997,0.03352258,-0.040354557,2.0022899e-05,30.0,1.702,2
22,1334116100015281,205932706,2459813.8329714485,59813.3270602,18.375893,0.04016404,0,zg,340.9286363,-16.9857079,0.766,0.04,20220822327049,1334,16,1,21.12,26.05755,0.029615756,-0.06372789,1.5211826e-05,30.0,1.737,2
23,1334116100015281,206030892,2459814.8148446674,59814.3089236,18.394833,0.04067257,0,zg,340.928685,-16.9856927,1.622,0.1,20220823308912,1334,16,1,21.3,26.086533,0.027603798,-0.06423685,1.3000058e-05,30.0,1.797,2
24,1334116100015281,206133368,2459815.8396102297,59815.3336806,18.43813,0.04186479,0,zg,340.9286623,-16.9857381,2.207,0.21,20220824333681,1334,16,1,21.3,26.042032,0.030085811,-0.04639556,1.5629348e-05,30.0,1.706,2
25,1334116100015281,206331094,2459817.8168903226,59817.3109491,18.381561,0.040315416,0,zg,340.9286785,-16.9857068,2.432,0.269,20220826310938,1334,16,1,21.33,26.028143,0.029578915,-0.038650252,1.5173996e-05,30.0,1.754,2
26,1334116100015281,206434614,2459818.852090509,59818.3461458,18.330118,0.038966905,0,zg,340.9286435,-16.9856691,1.472,0.131,20220827346146,1334,16,1,21.15,26.108322,0.030996576,-0.061193466,1.695016e-05,30.0,1.686,2
27,1334116100015281,206538421,2459819.890159401,59819.384213,18.35908,0.03971912,0,zg,340.9286786,-16.9856812,1.8,0.216,20220828384213,1334,16,1,21.46,26.136288,0.025904087,-0.0411217,1.147701e-05,30.0,1.759,2
28,1334116100015281,206625614,2459820.762092227,59820.2561458,18.375093,0.040142763,0,zg,340.9286776,-16.9857064,2.081,0.148,20220829256134,1334,16,1,21.07,25.991043,0.031266008,-0.06094235,1.708792e-05,30.0,2.069,2
29,1334116100015281,206737076,2459821.876708554,59821.3707639,18.417751,0.04129847,0,zg,340.9286411,-16.9856714,1.624,0.133,20220830370729,1334,16,1,21.22,26.141891,0.028253159,-0.051093955,1.3970676e-05,30.0,1.732,2
30,1334116100015281,206833313,2459822.839078048,59822.3331366,18.340458,0.039233413,0,zg,340.9286438,-16.9856613,1.249,0.146,20220831332824,1334,16,1,21.09,26.12679,0.0301494,-0.044287182,1.6077951e-05,30.0,1.687,2
31,1334216100010104,68914224,2458443.643153666,58443.1422454,17.146086,0.018000292,0,zr,340.9286662,-16.9856828,1.579,0.184,20181121142234,1334,16,1,20.25,26.044317,0.03262324,0.0918856,1.8249835e-05,30.0,1.783,2
32,1334216100010104,130741658,2459061.9219007716,59061.4165856,17.470737,0.02148581,0,zr,340.9286674,-16.9856974,2.782,0.277,20200731416528,1334,16,1,21.02,26.102139,0.022100389,0.08666174,8.274173e-06,30.0,1.692,3
33,1334216100010104,139222475,2459146.7281907178,59146.2247569,17.616081,0.023430875,32768,zr,340.9286678,-16.9856325,0.616,0.142,20201024224688,1334,16,1,18.29,24.318268,0.056631077,0.08485359,0.00019351127,30.0,1.751,2
34,1334216100010104,139222521,2459146.728653675,59146.2252199,17.666525,0.024169818,32768,zr,340.9286306,-16.9856849,0.947,0.157,20201024225220,1334,16,1,18.56,24.61677,0.051510308,0.0876394,0.00011585275,30.0,1.753,3
35,1334216100010104,142912052,2459183.6204881757,59183.1205208,17.350891,0.020070836,0,zr,340.9286772,-16.985726,0.69,-0.004,20201130120521,1334,16,1,19.33,26.108536,0.044906538,0.089365005,3.976532e-05,30.0,1.74,2
36,1334216100010104,142912098,2459183.620951132,59183.1209838,17.39555,0.02057932,0,zr,340.9286738,-16.9856428,0.419,0.008,20201130120984,1334,16,1,19.39,26.09625,0.041220915,0.0952644,3.1159747e-05,30.0,1.742,3
37,1334216100010104,167541612,2459429.9215536737,59429.4161227,17.529055,0.022234611,0,zr,340.9286596,-16.9856721,3.181,0.297,20210803416123,1334,16,1,21.1,26.074371,0.022555334,0.095107675,8.51116e-06,30.0,1.687,2
38,1334216100010104,170035020,2459454.8561544437,59454.3502083,17.648903,0.02390776,0,zr,340.9286801,-16.9856764,3.132,0.471,20210828350197,1334,16,1,20.86,26.104506,0.0226832,0.090853795,8.704804e-06,30.0,1.688,2
39,1334216100010104,170035067,2459454.856617444,59454.3506713,17.64184,0.02380391,0,zr,340.9286547,-16.985665,3.115,0.362,20210828350671,1334,16,1,20.98,26.12342,0.023990849,0.09104976,9.7178945e-06,30.0,1.689,3
40,1334216100010104,171035172,2459464.8575921967,59464.3517245,17.546804,0.022470785,0,zr,340.9286649,-16.9856689,3.244,0.336,20210907351713,1334,16,1,21.09,26.057299,0.021464944,0.09407455,7.709985e-06,30.0,1.744,2
41,1334216100010104,171436565,2459468.8714492754,59468.3656597,17.55851,0.022628687,0,zr,340.9286758,-16.9856817,3.907,0.416,20210911365625,1334,16,1,20.97,26.041046,0.022201026,0.093678355,8.337135e-06,30.0,1.862,2
42,1334216100010104,172026821,2459474.7738447324,59474.2682176,17.616985,0.02344383,0,zr,340.9286347,-16.9856582,2.627,0.299,20210917268125,1334,16,1,20.27,26.088253,0.031031651,0.08857792,1.6085332e-05,30.0,1.705,2
43,1334216100010104,175125296,2459505.75688673,59505.252963,17.536026,0.022326902,0,zr,340.9286865,-16.9856519,1.973,0.266,20211018252569,1334,16,1,19.87,26.112804,0.03338284,0.093328774,1.8751492e-05,30.0,1.797,2
44,1334216100010104,176914600,2459523.648425877,59523.1460069,17.488882,0.021714404,0,zr,340.9286466,-16.9856387,3.301,0.382,20211105145995,1334,16,1,21.1,26.154768,0.02138193,0.089996755,7.5460557e-06,30.0,1.69,2
45,1334216100010104,177224913,2459526.751263319,59526.2491319,17.622871,0.023528349,0,zr,340.9286497,-16.9856645,2.849,0.383,20211108249097,1334,16,1,20.99,26.098036,0.024189193,0.09194428,9.672019e-06,30.0,2.289,2
46,1334216100010104,179613784,2459550.637639574,59550.1378472,17.57231,0.022817073,0,zr,340.9286705,-16.9856457,2.472,0.2,20211202137836,1334,16,1,20.72,26.12226,0.024889192,0.092001446,1.026412e-05,30.0,1.838,2
47,1334216100010104,202540839,2459779.9130432312,59779.4083912,17.63866,0.023757385,0,zr,340.9286678,-16.9856775,3.394,0.294,20220719408380,1334,16,1,20.55,26.06635,0.026108626,0.082601145,1.1533288e-05,30.0,1.779,2
48,1334216100010104,204037211,2459794.877537383,59794.3721181,17.611546,0.023366105,0,zr,340.9286881,-16.9856991,3.514,0.36,20220803372118,1334,16,1,20.85,25.83491,0.02563306,0.09474487,1.0927603e-05,30.0,1.76,2
49,1334216100010104,204347545,2459797.9809894767,59797.4754514,17.55502,0.022581419,0,zr,340.9286483,-16.985633,3.4,0.368,20220806475440,1334,16,1,21.13,26.10244,0.024409108,0.09411057,1.0039038e-05,30.0,1.938,2
50,1334216100010104,205238269,2459806.8884936795,59806.3826968,17.622784,0.023527099,0,zr,340.9286337,-16.985684,1.942,0.218,20220815382662,1334,16,1,20.15,26.067493,0.032843467,0.088699244,1.8119388e-05,30.0,1.687,2
51,1334216100010104,205334393,2459807.8497525505,59807.3439352,17.562809,0.02268711,0,zr,340.9286599,-16.9856665,3.198,0.371,20220816343924,1334,16,1,20.57,26.06519,0.027536018,0.09164613,1.274719e-05,30.0,1.735,2
52,1334216100010104,205436103,2459808.866867505,59808.3610301,17.596485,0.023152998,0,zr,340.9286899,-16.9857007,1.71,0.164,20220817361018,1334,16,1,20.58,26.041914,0.034222785,0.087492615,1.9642877e-05,30.0,1.694,2
53,1334216100010104,205632349,2459810.829366778,59810.3234954,17.537243,0.022343075,0,zr,340.9286418,-16.9856686,2.856,0.187,20220819323495,1334,16,1,20.52,25.850855,0.034050293,0.09381374,1.9510106e-05,30.0,1.781,2
54,1334216100010104,205736321,2459811.8691044524,59811.3632176,17.549465,0.02250653,0,zr,340.9286674,-16.9857178,3.315,0.392,20220820363218,1334,16,1,21.05,26.017931,0.02246085,0.09230787,8.49452e-06,30.0,1.686,2
55,1334216100010104,205835266,2459812.858561935,59812.352662,17.66077,0.024083775,0,zr,340.9286933,-16.9856803,2.276,0.268,20220821352662,1334,16,1,21.11,26.059334,0.021951485,0.08719742,8.156829e-06,30.0,1.691,2
56,1334216100010104,205939372,2459813.899638863,59813.3937269,17.544115,0.02243475,0,zr,340.9286493,-16.9856746,3.691,0.274,20220822393681,1334,16,1,20.85,26.039541,0.025466586,0.0992801,1.0957292e-05,30.0,1.736,2
57,1334216100010104,206041565,2459814.9215817302,59814.4156597,17.517767,0.02208645,0,zr,340.9286802,-16.9857029,2.809,0.291,20220823415637,1334,16,1,21.19,26.040314,0.022794455,0.09481874,8.871413e-06,30.0,1.845,2
58,1334216100010104,206130634,2459815.8122720183,59815.3063426,17.592926,0.02310306,0,zr,340.9286658,-16.9856978,2.786,0.378,20220824306331,1334,16,1,21.09,26.023413,0.024112266,0.0817716,9.765121e-06,30.0,1.797,2
59,1334216100010104,206233188,2459816.8378228946,59816.3318866,17.55447,0.022573993,0,zr,340.9286472,-16.9857005,3.134,0.227,20220825331782,1334,16,1,20.97,26.019278,0.023915524,0.084463805,9.65581e-06,30.0,1.705,2
60,1334216100010104,206339412,2459817.9000619627,59817.3941204,17.555065,0.022582032,0,zr,340.9286518,-16.9856594,3.243,0.371,20220826394109,1334,16,1,21.05,25.987371,0.023275096,0.09435729,9.0914855e-06,30.0,1.777,2
61,1334216100010104,206428401,2459818.789960738,59818.2840162,17.603577,0.02325298,0,zr,340.9286573,-16.9856822,2.959,0.229,20220827284016,1334,16,1,20.94,26.071953,0.025144273,0.09057314,1.0583935e-05,30.0,1.877,2
62,1385101400016579,138326310,2459137.767227545,59137.2631019,18.287035,0.04109158,32768,zg,340.9286444,-16.9856559,1.249,0.121,20201015263102,1385,1,4,20.35,25.227642,0.04365966,-0.021019924,4.9592058e-05,30.0,1.628,2
63,1385101400016579,138326356,2459137.767690407,59137.2635648,18.279158,0.040864885,32768,zg,340.9286026,-16.9857015,0.756,0.061,20201015263565,1385,1,4,20.37,25.230732,0.04183792,-0.011657665,4.403264e-05,30.0,1.63,3
64,1385101400016579,142718696,2459181.6871274826,59181.1869676,18.142021,0.037147637,0,zg,340.9286135,-16.9858387,0.957,0.043,20201128186910,1385,1,4,19.32,26.013563,0.044972915,-0.04283526,0.000117583375,30.0,2.01,2
65,1385101400016579,142718744,2459181.6876019416,59181.1874421,18.30796,0.041701,0,zg,340.9285789,-16.9855833,0.667,0.069,20201128187442,1385,1,4,19.26,25.997595,0.04111442,-0.02335823,9.1874994e-05,30.0,2.016,3
66,1385101400016579,142915965,2459183.659616255,59183.1596528,18.233435,0.03957787,0,zg,340.928607,-16.9857529,0.601,0.048,20201130159653,1385,1,4,19.58,26.027615,0.040875558,-0.029984187,7.56444e-05,30.0,1.775,2
67,1385101400016579,142916012,2459183.660090703,59183.1601273,18.294685,0.04131318,0,zg,340.9285488,-16.9857434,1.176,0.024,20201130160127,1385,1,4,19.44,26.059263,0.039804257,-0.04117307,7.250444e-05,30.0,1.779,3
68,1385101400016579,164543020,2459399.933830415,59399.4302083,18.364601,0.043403942,0,zg,340.9286458,-16.9856526,1.98,0.241,20210704430208,1385,1,4,21.11,25.92043,0.034119923,-0.051769823,2.0722151e-05,30.0,1.531,2
69,1385101400016579,164543068,2459399.934305051,59399.4306829,18.294956,0.041321035,32768,zg,340.9286648,-16.9856631,1.45,0.155,20210704430671,1385,1,4,20.85,25.665312,0.08860098,-0.024679394,0.00015062852,30.0,1.53,3
70,1385101400016579,166335104,2459417.8558829203,59417.3510417,18.16603,0.037767924,32768,zg,340.9286459,-16.9856894,0.217,0.022,20210722351030,1385,1,4,18.75,24.996412,0.045009676,0.011181335,0.00020978517,30.0,1.683,3
71,1385101400016579,167140427,2459425.909528477,59425.4042708,18.425007,0.045308597,32768,zg,340.928683,-16.9856705,1.537,0.268,20210730404259,1385,1,4,20.09,25.638166,0.039581615,-0.028090928,4.6196412e-05,30.0,1.452,2
72,1385101400016579,167140568,2459425.9109406443,59425.4056829,18.35365,0.0430685,0,zg,340.9286414,-16.9856873,0.779,0.044,20210730405671,1385,1,4,20.35,25.733288,0.039130215,-0.031212192,3.7050657e-05,30.0,1.452,3
73,1385101400016579,167239577,2459426.901078188,59426.3957755,18.317537,0.0419834,0,zg,340.9286484,-16.9856537,1.458,0.131,20210731395775,1385,1,4,20.85,25.9502,0.031807993,-0.041065663,2.007745e-05,30.0,1.454,2
74,1385101400016579,168441679,2459438.922525317,59438.416794,18.34642,0.042848717,0,zg,340.9286465,-16.9856861,1.434,0.14,20210812416794,1385,1,4,20.83,25.806358,0.036421783,-0.05176482,2.5651143e-05,30.0,1.525,2
75,1385101400016579,169835363,2459452.8595762383,59452.3536343,18.45523,0.046296895,0,zg,340.9286455,-16.9855861,1.08,0.114,20210826353634,1385,1,4,20.49,26.06226,0.03785717,-0.033976752,3.38007e-05,30.0,1.466,2
