,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,351105400012310,57348393,2458327.9832639187,58327.4839352,17.58888,0.029243525,32768,zg,50.3502414,-11.1460259,0.88,-0.011,20180728483900,351,5,4,18.89,25.211596,0.049624927,-0.045148958,0.0005413902,30.0,2.04,1
1,351105400012310,57648348,2458330.983067924,58330.4834838,17.453945,0.027054826,32768,zg,50.3504067,-11.145978,0.818,0.052,20180731483472,351,5,4,19.36,25.823568,0.047571026,0.014325873,0.00015263408,30.0,1.933,1
2,351105400012310,57946462,2458333.964469096,58333.4646296,17.481663,0.027482394,0,zg,50.3503423,-11.1459874,0.63,0.047,20180803464618,351,5,4,19.45,25.858124,0.040924337,0.00086561154,0.00010889127,30.0,2.087,1
3,351105400012310,58844030,2458342.9409121475,58342.4403009,17.41732,0.026506485,32768,zg,50.3503403,-11.1460082,2.831,0.203,20180812440301,351,5,4,20.72,25.602615,0.03838182,0.00895646,4.337979e-05,30.0,2.095,1
4,351105400012310,59143099,2458345.9318624586,58345.4309954,17.305807,0.024948169,0,zg,50.3503509,-11.145951,1.89,0.197,20180815430822,351,5,4,20.52,25.755972,0.04517738,-0.0052575385,6.734244e-05,30.0,2.118,1
5,351105400012310,59143196,2458345.932834742,58345.4319676,17.321846,0.025162378,0,zg,50.350375,-11.1460426,2.483,0.104,20180815431933,351,5,4,20.48,25.756092,0.039563432,-0.006325265,5.0150942e-05,30.0,2.102,3
6,351105400012310,59249884,2458346.9998006434,58346.4988426,17.502808,0.027816037,0,zg,50.3503428,-11.1460238,2.825,0.205,20180816498831,351,5,4,20.91,25.887657,0.033507608,-0.014494344,2.9238248e-05,30.0,1.498,3
7,351105400012310,59348358,2458347.984629655,58347.483588,17.437933,0.026812797,0,zg,50.3503601,-11.1460336,4.472,0.498,20180817483576,351,5,4,21.45,26.017189,0.029972052,-0.020172877,2.1187536e-05,30.0,1.555,3
8,351105400012310,59449841,2458348.999541979,58348.4984144,17.478966,0.027440293,0,zg,50.3503658,-11.1460634,4.173,0.328,20180818498403,351,5,4,21.14,26.05444,0.03359641,-0.014054775,2.8594068e-05,30.0,1.482,3
9,351105400012310,59449931,2458349.0004447605,58348.4993171,17.471966,0.027331544,0,zg,50.3503071,-11.1460405,3.605,0.236,20180818499317,351,5,4,21.01,26.049425,0.03419775,-0.011995311,2.9997165e-05,30.0,1.478,1
10,351105400012310,59543947,2458349.9406861546,58349.4394792,17.424843,0.0266176,0,zg,50.3503504,-11.146025,3.625,0.299,20180819439479,351,5,4,21.22,25.977205,0.030507782,-0.0133733805,2.213063e-05,30.0,1.859,3
11,351105400012310,59644797,2458350.9492662656,58350.4479745,17.47321,0.027350828,0,zg,50.3503703,-11.1459775,3.753,0.345,20180820447963,351,5,4,21.28,25.952843,0.032990716,-0.02131106,2.7091632e-05,30.0,1.747,3
12,351105400012310,59745724,2458351.9586217147,58351.4572454,17.40839,0.026375609,0,zg,50.3503414,-11.1459533,2.962,0.251,20180821457234,351,5,4,21.19,26.022814,0.035798978,-0.015598959,3.076328e-05,30.0,1.652,1
13,351105400012310,59845652,2458352.957987465,58352.4565278,17.419586,0.026539873,0,zg,50.350374,-11.1459794,3.56,0.494,20180822456516,351,5,4,21.31,26.012802,0.034532625,-0.012267064,2.8914377e-05,30.0,1.64,3
14,351105400012310,60644083,2458360.9429437546,58360.4408333,17.347908,0.025517408,32768,zg,50.3504388,-11.146019,1.493,0.078,20180830440833,351,5,4,19.65,26.127113,0.03588187,0.0076231877,7.1087765e-05,30.0,1.566,3
15,351105400012310,60645842,2458360.96053777,58360.4584259,17.33717,0.025370067,32768,zg,50.3503809,-11.146036,1.315,-0.079,20180830458426,351,5,4,19.5,26.159307,0.042848032,0.008801219,0.00012082485,30.0,1.48,1
