,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,794107300002870,44936900,2458203.8713103808,58203.3690046,19.574146,0.08347369,0,zg,232.7652279,53.405466,0.654,0.123,20180326368993,794,7,3,20.97,26.266588,0.03331982,-0.09074254,2.6420259e-05,30.0,1.191,2
1,794107300002870,44940511,2458203.9074217994,58203.4051157,19.45485,0.076548465,0,zg,232.765508,53.4054,1.498,0.214,20180326405069,794,7,3,21.24,26.268444,0.031368215,-0.042281225,2.1508222e-05,30.0,1.12,2
2,794107300002870,44941084,2458203.9131510584,58203.4108449,19.50467,0.07936532,0,zg,232.7654175,53.4053377,1.672,0.237,20180326410833,794,7,3,21.35,26.265337,0.028560309,-0.03702448,1.765675e-05,30.0,1.112,1
3,794107300002870,45037777,2458204.880092069,58204.3777778,19.412344,0.074228235,0,zg,232.7652527,53.4053103,0.512,0.002,20180327377766,794,7,3,20.55,26.303917,0.035590906,-0.095461816,3.735607e-05,30.0,1.164,2
4,794107300002870,45041677,2458204.9190853992,58204.4167708,19.409138,0.07405625,0,zg,232.7651786,53.4052917,0.943,0.108,20180327416690,794,7,3,20.85,26.3059,0.031467862,-0.08811158,2.487067e-05,30.0,1.101,2
5,794107300002870,45041768,2458204.919999791,58204.4176852,19.400051,0.07357121,0,zg,232.7654236,53.4053803,0.806,0.006,20180327417674,794,7,3,20.88,26.306835,0.03136271,-0.086299114,2.425974e-05,30.0,1.1,2
6,794107300002870,45046165,2458204.963970045,58204.4616551,19.400137,0.07357579,0,zg,232.7654886,53.4053902,1.088,0.118,20180327461644,794,7,3,21.12,26.302128,0.031037526,-0.073702596,2.1251633e-05,30.0,1.074,2
7,794107300002870,45049880,2458205.0011231406,58204.4988079,19.186987,0.06313387,0,zg,232.7655446,53.4053216,0.966,0.028,20180327498762,794,7,3,20.87,26.283724,0.039978698,-0.05779233,3.8575894e-05,30.0,1.086,2
8,794107300002870,45138483,2458205.8871600754,58205.384838,19.363054,0.071631074,0,zg,232.7654053,53.4054218,0.637,-0.033,20180328384826,794,7,3,19.81,25.993498,0.040256694,-0.050115116,7.2976654e-05,30.0,1.145,2
9,794107300002870,45143726,2458205.93959097,58205.4372685,19.294044,0.06815867,0,zg,232.7655058,53.4054436,0.529,-0.031,20180328437222,794,7,3,20.29,26.20575,0.038986936,-0.033841435,4.630414e-05,30.0,1.082,2
10,794107300002870,45145775,2458205.9600772355,58205.4577546,19.549818,0.08201086,0,zg,232.7653016,53.4053709,0.969,0.171,20180328457743,794,7,3,20.77,26.255682,0.035385232,-0.04182202,3.135175e-05,30.0,1.075,2
11,794107300002870,45148144,2458205.983769606,58205.4814468,19.398954,0.0735129,0,zg,232.7654003,53.405349,1.263,0.278,20180328481412,794,7,3,20.99,26.248943,0.030482216,-0.031550672,2.165938e-05,30.0,1.078,2
12,794107300002870,45150309,2458206.0054132603,58205.5030903,19.489845,0.07851599,0,zg,232.7654169,53.4053615,0.919,0.112,20180328503067,794,7,3,21.43,26.254856,0.025773667,-0.047538895,1.43831885e-05,30.0,1.092,2
