,mjd,uJy,duJy,F,n,mag5sig
0,58728.62565666667,60.0,21.786846184490923,c,6,18.807089070933483
1,58900.363172,192.0,176.0,c,1,16.538793319624578
2,58582.321285,42.0,28.0,o,1,18.534679910804403
3,58588.316647,68.0,27.932955446926844,o,2,18.53728276748824
4,58590.30063,462.0,53.0,o,1,17.84188531515798
5,58594.2919495,-208.5,29.678485473487356,o,4,18.471470652569174
6,58600.299898,126.0,139.0,o,1,16.795037988524715
7,58714.61145999999,-333.3333333333333,14.437605218471809,o,3,19.2538370834053
8,58730.6355635,-49.5,117.78370006074695,o,2,16.974862006314833
9,58746.617392500004,-301.5,51.47086554547145,o,2,17.873671310400596
10,58768.650991,-54.0,105.0,o,1,17.099601741485106
11,58774.590602,-370.0,27.0,o,1,18.574165578762482
12,58796.513309,521.0,170.0,o,1,16.576452685714266
13,58800.4260585,60.0,39.59797974644666,o,2,18.158392416224427
14,58804.54001,32.0,20.0,o,1,18.9
15,58828.456984000004,56.0,38.108398024582456,o,2,18.200023257724617
16,58830.429079,-218.0,18.398369492974098,o,2,18.9906266478835
17,58832.479144,-518.0,315.0,o,1,15.90679860468595
18,58838.380053,-307.0,22.0,o,1,18.796518287104437
19,58880.360909,-412.0,51.0,o,1,17.88364954891511
20,58934.238052,-616.0,27.0,o,1,18.574165578762482
