,mjd,uJy,duJy,F,n,mag5sig
0,58073.298374499995,-12.0,7.810249675906654,c,2,19.920912695396492
1,58250.618046,-12.0,17.0,c,1,19.076452685714266
2,58257.621334,-12.0,44.0,c,1,18.043943297944484
3,58281.59641375,-1.25,4.130677910464576,c,4,20.61252165867891
4,58285.586349749996,6.0,4.0155946010522525,c,4,20.64320033502582
5,58309.558850999994,13.5,5.408326913195984,c,2,20.319917651137203
6,58313.53688299999,7.0,9.192388155425117,c,2,19.744004102972838
7,58333.5935415,9.5,8.88467782195843,c,4,19.780970779285695
8,58337.493711,-6.0,4.380353866983808,c,4,20.548801998133374
9,58341.479533,3.0,9.0,c,1,19.76696871556164
10,58345.468139,2.0,32.0,c,1,18.389700043360186
11,58401.363139249996,6.0,4.630064794363034,c,4,20.488607317426393
12,58405.3966685,-3.75,5.390964663211956,c,4,20.323408776367415
13,58425.346582,-6.0,10.0,c,1,19.65257498915995
14,58429.34754125,3.5,5.5,c,4,20.301668265424343
15,58071.293655333335,3.0,8.673074554171793,o,3,19.80714229010268
16,58075.295990750004,-5.25,8.444672877027267,o,4,19.83611791195709
17,58079.2788935,4.75,6.878408246098802,o,4,20.058855118104766
18,58091.244447666664,5.333333333333333,16.38766473770914,o,3,19.116282312949544
19,58095.25082375,14.0,7.636262174650632,o,4,19.94537291279673
20,58097.2499275,6.5,6.010407640085654,o,4,20.205315169454195
21,58099.24584925,-2.25,9.414085191881366,o,4,19.71812967892105
22,58103.23199,-3.0,18.0,o,1,19.014393726401686
23,58113.23112149999,-4.5,11.40175425099138,o,2,19.510145798776406
24,58115.217007,-2.0,47.12218161333365,o,2,17.969511517272835
25,58119.2116945,-14.5,28.600699292150182,o,2,18.511633359570798
26,58121.20764966667,5.0,34.64101615137755,o,3,18.30359843160042
27,58127.20991675,2.25,26.431515280059145,o,4,18.59726983588
28,58129.2149335,-7.5,24.62214450449026,o,2,18.674260299647052
29,58245.618321999995,26.666666666666668,20.46948949045872,o,3,18.874807460452082
30,58255.620445,6.0,89.0,o,1,17.27909997254767
31,58259.613091,39.0,24.0,o,1,18.702046884880936
32,58261.609389000005,9.5,11.853269591129697,o,2,19.46797958385858
33,58263.610404,64.0,45.0,o,1,18.019543704721592
34,58269.609809333335,63.666666666666664,25.06879423595089,o,3,18.654741374973053
35,58273.600356999996,19.666666666666668,15.235193176035253,o,3,19.195455075983723
36,58279.59833025,5.5,8.212033852828421,o,4,19.86644816162622
37,58283.593075,-12.0,10.259142264341596,o,2,19.62479735852532
38,58287.590794,-6.0,13.0,o,1,19.36771660839286
39,58291.58004125,-0.25,7.0178344238090995,o,4,20.037067195617915
40,58293.6120345,12.5,20.26079958935481,o,2,18.885933537340627
41,58295.57739875,7.5,11.986972094736853,o,4,19.455801253393258
42,58296.59953166667,-5.666666666666667,38.92442820532,o,3,18.17701938526304
43,58299.57794825,-6.0,14.493533040635745,o,4,19.24963932689301
44,58305.54456725,0.75,6.656763477847174,o,4,20.094417173501025
45,58311.54712899999,15.666666666666666,10.03327796219494,o,3,19.64896787886309
46,58315.532219750006,0.0,6.637959023675877,o,4,20.09748857124061
47,58319.5293105,-21.5,20.808652046684813,o,2,18.856965118718243
48,58321.5103505,6.5,5.129571132170798,o,4,20.377372347685274
49,58325.43948266667,13.333333333333334,11.761519176251568,o,3,19.476416436669414
50,58331.49858125,3.75,18.87624168101267,o,4,18.962786166224692
51,58343.473721,3.5,7.794228634059948,o,4,19.923142136322014
52,58347.4631085,8.0,7.137051211810099,o,4,20.018777956554885
53,58351.493627,7.0,16.62077013859466,o,2,19.100947130793493
54,58361.44492433334,-0.6666666666666666,7.909207011803115,o,3,19.907242632394926
55,58363.431787333335,9.666666666666666,10.862780491200217,o,3,19.562722480027297
56,58367.52825123077,4.769230769230769,3.8012766463402574,o,13,20.702751295415965
57,58369.421851,-6.75,6.010407640085654,o,4,20.205315169454195
58,58371.418609333334,-1.6666666666666667,7.71722460186015,o,3,19.933922138843144
59,58377.459652333324,3.3333333333333335,6.182412330330469,o,3,20.174680072744696
60,58379.4553385,1.5,24.37724348649781,o,2,18.68511350115968
61,58381.424092,-1.0,8.253787009609589,o,4,19.86094184505408
62,58387.483395999996,27.333333333333332,20.212757247727378,o,3,18.88851108862303
63,58391.383679000006,19.5,13.82931668593933,o,2,19.300573184377882
64,58393.3734365,12.0,8.845903006477066,o,2,19.785719556386844
65,58395.367192000005,1.25,7.044501401802686,o,4,20.032949339445988
66,58403.40262750001,13.0,10.680004681646913,o,4,19.58114638148924
67,58416.421513333335,5.0,22.74007720108072,o,3,18.760595152270717
68,58417.35792433333,-13.666666666666666,11.944315244779277,o,3,19.459671846293062
69,58427.34109833333,-7.0,8.333333333333334,o,3,19.850528104279014
70,58431.321221,-8.0,16.0,o,1,19.14227503252014
