,mjd,uJy,duJy,F,n,mag5sig
0,59351.58006400001,-4.0,5.533985905294664,c,4,20.294979867444216
1,59377.553457,7.0,4.642796092394707,c,3,20.485625963546326
2,59381.5466765,14.0,6.103277807866851,c,2,20.18866714280456
3,59385.59193275,15.5,3.897114317029974,c,4,20.675717125481967
4,59403.53150866667,2.0,4.818944098266987,c,3,20.44519526832029
5,59407.509389,-9.0,20.0,c,1,18.9
6,59415.52155933334,-8.0,6.164414002968976,c,3,20.17784549338894
7,59433.4427755,18.0,5.656854249492381,c,2,20.27113751626007
8,59437.5274815,-2.0,4.0155946010522525,c,4,20.64320033502582
9,59441.41900033333,2.3333333333333335,4.864839839775475,c,3,20.434903621660688
10,59467.3562385,7.0,6.020797289396148,c,2,20.203439975526187
11,59515.347643500005,0.5,6.726812023536855,c,2,20.083051759733422
12,59519.33175,-8.0,9.0,c,1,19.76696871556164
13,59523.342173,5.5,9.192388155425117,c,2,19.744004102972838
14,59697.607109000004,2.0,7.677076266392044,c,4,19.939585351558197
15,59349.60681825,10.25,7.206767652699787,o,4,20.00822368774972
16,59353.57407525,3.5,6.169481339626533,o,4,20.176953351688763
17,59359.569293333334,3.0,17.048949136725895,o,3,19.07333095139382
18,59369.588298,7.0,7.0710678118654755,o,2,20.02886248373993
19,59371.598755666666,6.0,10.6874796945876,o,3,19.580386732635034
20,59383.53281933333,2.6666666666666665,7.348469228349534,o,3,19.98708278938124
21,59387.5655268,-4.2,9.781615408509987,o,5,19.676548530854532
22,59389.53811,15.5,10.656570742973557,o,4,19.583531308344817
23,59391.528125125005,2.25,9.82423661156428,o,8,19.671827954967693
24,59393.55428075,1.25,8.038967595406763,o,4,19.889574294032453
25,59397.539315500006,0.25,7.7014609003746815,o,4,19.936142201945742
26,59401.53153985714,-0.8571428571428571,5.8675865079750995,o,7,20.231426235959187
27,59405.501731000004,0.6,4.458699361921591,o,5,20.529554514083333
28,59409.496294666664,-4.333333333333333,5.395471352079549,o,3,20.322501511809424
29,59413.4866125,4.25,5.900211860602973,o,4,20.225405973512697
30,59419.501304749996,3.25,17.106285394556004,o,4,19.0696857057791
31,59421.47104033333,-9.333333333333334,14.185281887302141,o,3,19.272980063066534
32,59425.55811633333,8.0,8.096638534327413,o,3,19.881813111406426
33,59429.52225666667,4.333333333333333,4.818944098266987,o,3,20.44519526832029
34,59431.546348250005,17.75,6.509608283145768,o,4,20.118687850146028
35,59435.4588182,1.0,37.3255944359899,o,5,18.222558156927203
36,59443.461603,5.0,9.219544457292887,o,2,19.740801332017085
37,59445.42104075,1.5,8.0,o,4,19.894850021680092
38,59447.41567624999,-14.75,12.671325897474187,o,4,19.395519837146924
39,59451.4220175,3.0,10.62720565341614,o,4,19.586527276778693
40,59453.3997505,7.0,5.889609494694874,o,4,20.227358738576513
41,59455.4005845,4.75,6.637959023675877,o,4,20.09748857124061
42,59457.39815033333,-4.333333333333333,6.182412330330469,o,3,20.174680072744696
43,59461.43568033333,-4.0,5.395471352079549,o,3,20.322501511809424
44,59465.501484333334,-2.3333333333333335,8.919392106839767,o,3,19.77673684807429
45,59469.411979,-3.0,16.0,o,1,19.14227503252014
46,59475.41010274999,1.75,23.063770290219246,o,4,18.745249229335464
47,59479.40370633333,-17.0,17.770137247015786,o,3,19.028348033969795
48,59481.449541375,9.0,6.799586384479573,o,8,20.07136875018902
49,59485.375987666666,7.5,5.112620550059322,o,6,20.38096608583499
50,59487.38556433333,2.0,7.125852775477316,o,3,20.020482875871796
51,59489.533678,6.0,23.0,o,1,18.74825539911597
