,mjd,uJy,duJy,F,n,mag5sig
0,59108.54052657143,-0.7142857142857143,3.4787987605388344,c,7,20.799001722490267
1,59112.56567920001,11.2,7.118988692223074,c,5,20.021529231395697
2,59136.490259000006,-2.0,6.164414002968976,c,3,20.17784549338894
3,59144.459027000004,8.0,5.011098792790969,c,3,20.402742577024856
4,59192.3168705,1.5,4.643543905251677,c,4,20.485451098638265
5,59194.41121,-5.0,5.70087712549569,c,2,20.26272078793636
6,59200.3648805,-5.0,5.315072906367325,c,2,20.33880192396563
7,59220.356385333325,1.6666666666666667,5.033222956847166,c,3,20.39795956720854
8,59222.3112185,1.25,3.0,c,4,20.959771852360795
9,59226.348861,-6.0,4.272001872658765,c,4,20.575996403169334
10,59228.38993775,16.5,5.25594901040716,c,4,20.350947130793493
11,59230.300188,2.75,4.394598957811737,c,4,20.545276868198815
12,59250.293364,5.0,10.0,c,1,19.65257498915995
13,59252.322142499994,10.0,4.291464396527911,c,6,20.571061204613095
14,59254.262344500006,-3.5,4.630064794363034,c,4,20.488607317426393
15,59256.25778742856,-0.2857142857142857,4.010191099319486,c,7,20.644662317333648
16,59258.289734499995,2.5,4.643543905251677,c,4,20.485451098638265
17,59434.616364249996,4.5,4.562071897723665,c,4,20.504669675596958
18,59438.5960855,2.5,3.517811819867572,c,4,20.786893479652942
19,59442.61297133333,3.6666666666666665,3.6666666666666665,c,3,20.741896413063547
20,59464.58203133333,-14.666666666666666,5.587684871413404,c,3,20.28449522607776
21,59102.539354,10.0,5.942432162002357,o,4,20.21766440770556
22,59104.565509,2.6666666666666665,6.548960901462833,o,3,20.112143995119414
23,59106.54169933333,4.666666666666667,5.21749194749951,o,3,20.358920520503442
24,59110.5453875,5.5,12.539936203984453,o,2,19.406836671513318
25,59114.52922825,-1.0,4.513867521316947,o,4,20.516202967394932
26,59118.530989,19.0,9.0,o,1,19.76696871556164
27,59120.59025075,-0.25,5.049752469181039,o,4,20.394399763617507
28,59122.55854666667,9.0,9.89388138643722,o,3,19.66415824044405
29,59126.43131966667,17.666666666666668,9.848857801796106,o,3,19.669110321327146
30,59128.633681,6.0,20.0,o,1,18.9
31,59130.494412,2.6666666666666665,6.182412330330469,o,3,20.174680072744696
32,59132.505203,6.0,8.27982823224948,o,3,19.857521670917556
33,59134.5279565,0.0,4.808846015417836,o,4,20.447472812396114
34,59138.475491666664,4.333333333333333,7.788880963698616,o,3,19.923887322578185
35,59142.4270245,-2.75,4.879805323985784,o,4,20.431568747885333
36,59146.501359874994,5.625,3.637908052713812,o,8,20.750445693726427
37,59148.4884925,5.5,11.800423721205947,o,2,19.472830984352743
38,59154.47055025,1.75,10.51189802081432,o,4,19.59837214163354
39,59156.48761466667,4.333333333333333,12.556538801224908,o,3,19.405400131637265
40,59162.46633933333,5.0,6.565905201197403,o,3,20.10933846896635
41,59170.48646825,-2.75,5.0124844139408555,o,4,20.40244240112427
42,59176.421248,-26.0,57.0,o,1,17.762887849978725
43,59178.470965249995,-4.0,8.634958019585271,o,4,19.81192441289193
44,59180.41324175,-1.75,13.626720074911644,o,4,19.316596652725277
45,59182.374093,-32.0,23.0,o,1,18.74825539911597
46,59184.459792249996,-34.75,27.78713731207301,o,4,18.542965471227763
47,59186.4580795,10.0,12.5,o,2,19.41029995663981
48,59190.34447133334,1.6666666666666667,6.164414002968976,o,3,20.17784549338894
49,59206.34259133334,-8.166666666666666,5.76868943329226,o,6,20.249882092552443
50,59208.350105749996,12.75,8.407585860400118,o,4,19.84089671132304
51,59212.418861,44.0,37.12142238654117,o,2,18.22851346719544
52,59214.337645750005,13.75,8.656644846590392,o,4,19.809200988606296
53,59216.31719325,1.0,8.150920193450553,o,4,19.874558386825736
54,59218.38452475,8.75,5.921359641163505,o,4,20.221521390909658
55,59242.35995966667,11.0,26.892791268706606,o,3,18.578485286531752
56,59244.334335,-6.0,18.0,o,1,19.014393726401686
57,59246.27282966667,0.3333333333333333,4.041451884327381,o,3,20.636231457523888
58,59262.24322033334,1.6666666666666667,5.395471352079549,o,3,20.322501511809424
59,59268.296272,3.0,22.0,o,1,18.796518287104437
60,59272.231509749996,-1.25,12.1783619588186,o,4,19.43860279470818
61,59276.237098,-2.5,7.725768570181222,o,4,19.932720753000176
62,59298.233799,-3.25,13.36740438529485,o,4,19.33745727328237
63,59300.245045749994,2.5,16.942918874857426,o,4,19.080104410707452
64,59392.600414249995,15.25,15.67043394421482,o,4,19.1648724314651
65,59406.60073716667,-4.5,10.207567998521707,o,6,19.630269284930655
66,59416.572783,2.0,30.0,o,1,18.459771852360795
67,59422.61215374999,3.25,7.858116822750856,o,4,19.91427878674532
68,59432.606465000004,25.0,7.7781745930520225,o,2,19.925380770844367
69,59436.608294000005,-3.0,5.792715732327589,o,3,20.245369447262668
70,59440.561207666666,0.0,5.627314338711378,o,3,20.27682205094847
71,59444.61667133333,-0.3333333333333333,6.565905201197403,o,3,20.10933846896635
72,59448.54872275,3.75,10.553435459602717,o,4,19.59409034285379
73,59452.580860166665,11.666666666666666,7.174414416676961,o,6,20.01310884097044
74,59454.597856,10.0,10.0,o,1,19.65257498915995
75,59456.560411000006,9.166666666666666,5.66421515598881,o,6,20.269725634833858
76,59458.588548,15.333333333333334,59.92958831458427,o,3,17.708471753341833
77,59462.541431,-1.75,4.0155946010522525,o,4,20.64320033502582
