,mjd,uJy,duJy,F,n,mag5sig
0,59585.845387,9.0,13.0,c,1,19.36771660839286
1,59604.8399918,6.8,9.955902771722915,c,5,19.657373372449943
2,59632.070799,6.333333333333333,7.702813338860896,c,3,19.935951554673412
3,59639.02874733333,2.0,6.559556218051476,c,6,20.110388842920052
4,59640.046130250004,-6.25,6.7638746292343415,c,4,20.077086116156867
5,59669.761117,-5.5,7.810249675906654,c,2,19.920912695396492
6,59761.41162666667,14.0,5.416025603090641,c,3,20.318373217371818
7,59763.3895895,-16.0,13.038404810405298,c,2,19.36451383743711
8,59786.122849499996,-2.75,4.892596447695231,c,4,20.42872650001908
9,59796.40181633333,-8.333333333333334,5.21749194749951,c,3,20.358920520503442
10,59798.17037075,8.75,6.442049363362563,c,4,20.130014868269836
11,59820.289371,4.0,7.0,c,1,20.03982988912431
12,59841.93798566667,1.3333333333333333,4.8419463487779835,c,3,20.44002505683699
13,59846.076040249995,4.25,4.656984002549289,c,4,20.482313123991265
14,59850.050419,0.0,8.18535277187245,c,3,19.869981485783917
15,59853.98818000001,-0.3333333333333333,4.818944098266987,c,3,20.44519526832029
16,59578.902367999995,7.5,10.63014581273465,o,2,19.586226934805676
17,59579.86439825,0.25,6.509608283145768,o,4,20.118687850146028
18,59592.83819433334,-19.0,13.482498944104456,o,3,19.328149001789978
19,59617.78848433334,-8.666666666666666,10.954451150103322,o,3,19.55359843160042
20,59621.839538249995,-8.25,8.877640452282352,o,4,19.781831109263507
21,59628.029932,7.333333333333333,13.51542328847553,o,3,19.325500859454067
22,59636.08609900001,6.333333333333333,6.741249472052228,o,3,20.08072399094993
23,59638.047951500004,12.5,10.307764064044152,o,2,19.619663815757015
24,59641.03956516667,9.0,8.348319857578796,o,6,19.8485772884758
25,59642.043633,-4.666666666666667,9.445751543536502,o,3,19.71448369436076
26,59645.78991475,4.25,6.398241946034863,o,4,20.13742334249013
27,59656.049336,6.666666666666667,17.026123718829513,o,3,19.074785527083833
28,59664.008131999995,2.3333333333333335,12.133516482134198,o,3,19.442608278118072
29,59672.022588499996,-7.75,8.789197915623474,o,4,19.792701879038862
30,59679.99787,12.0,25.0,o,1,18.657724967479858
31,59687.981638,13.0,24.0,o,1,18.702046884880936
32,59746.174372999994,28.333333333333332,22.691163233490013,o,3,18.76293308914166
33,59778.10098059999,0.2,12.009995836801943,o,5,19.453717847017018
34,59784.4203135,-11.0,7.810249675906654,o,2,19.920912695396492
35,59800.40911366666,1.3333333333333333,8.673074554171793,o,3,19.80714229010268
36,59814.100481666675,1.0,7.520342781785652,o,3,19.96198089803816
37,59825.98525133333,-4.0,6.368324391514267,o,3,20.142512045388514
38,59826.009785,5.0,9.0,o,1,19.76696871556164
39,59828.250786,5.333333333333333,8.246211251235321,o,3,19.861938848277156
40,59830.1014675,9.5,13.124404748406688,o,2,19.35737595093537
41,59838.0965655,-23.0,11.661903789690601,o,2,19.48565135369718
42,59844.22214325,5.0,5.777110004145672,o,4,20.248298396194162
43,59848.298416499994,1.0,10.491067629178643,o,4,19.60052577252076
44,59852.19922433334,-7.333333333333333,6.368324391514267,o,3,20.142512045388514
45,59856.20327625,-17.5,8.415016339853418,o,4,19.83993758015061
46,59857.903916999996,0.6666666666666666,10.214368964029708,o,3,19.62954613562647
47,59860.207901999995,-21.0,18.062391868188442,o,2,19.01063683872703
48,59864.3160085,7.5,16.650825805346713,o,2,19.098985545633454
49,59865.87015366667,7.0,9.273618495495704,o,3,19.734451925105493
50,59868.236108666664,12.666666666666666,10.873004286866726,o,3,19.56170109101032
