,mjd,uJy,duJy,F,n,mag5sig
0,59768.577646749996,-6.25,5.25594901040716,c,4,20.350947130793493
1,59784.570617499994,-19.0,10.0,c,2,19.65257498915995
2,59785.11155333333,3.0,5.011098792790969,c,3,20.402742577024856
3,59788.56392566667,-13.666666666666666,11.185307823708344,c,3,19.53095513781495
4,59791.3752395,1.5,5.0124844139408555,c,4,20.40244240112427
5,59792.49618449999,4.5,10.833974340010226,c,4,19.565605482567243
6,59796.615455750005,-3.75,6.1339220731926485,c,4,20.183229353407576
7,59797.11386025,-0.5,4.769696007084728,c,4,20.456348237918537
8,59811.254103,-3.75,4.0,c,4,20.647425010840045
9,59815.240629,-7.0,9.0,c,1,19.76696871556164
10,59819.244827,-7.0,5.656854249492381,c,2,20.27113751626007
11,59820.6253295,-6.5,16.55294535724685,c,2,19.105386785634465
12,59823.298073,1.0,8.0,c,1,19.894850021680092
13,59824.6022755,-1.5,7.7781745930520225,c,2,19.925380770844367
14,59842.4211645,-9.5,8.139410298049853,c,2,19.876092635898896
15,59849.030971,7.0,11.0,c,1,19.54909327626439
16,59850.47299666666,4.333333333333333,5.196152422706632,c,3,20.363370283961217
17,59854.441649333334,-2.3333333333333335,5.773502691896258,c,3,20.24897655755953
18,59870.421605,-11.0,11.0,c,1,19.54909327626439
19,59871.212155,-14.0,5.889609494694874,c,4,20.227358738576513
20,59872.38488025,1.75,4.697073557013984,c,4,20.47300658574508
21,59875.215337,0.5,6.031169040907409,c,4,20.201571236667498
22,59876.38572966666,-5.0,6.368324391514267,c,3,20.142512045388514
23,59879.15105566667,-4.0,6.164414002968976,c,3,20.17784549338894
24,59880.40046625,-2.75,5.522680508593631,c,4,20.29720018997647
25,59896.86043925,-6.5,5.267826876426369,c,4,20.348496254836583
26,59898.36648866666,-1.0,4.818944098266987,c,3,20.44519526832029
27,59900.822871,-7.0,8.415016339853418,c,4,19.83993758015061
28,59902.340371,9.0,5.70087712549569,c,2,20.26272078793636
29,59904.830816,23.0,76.0,c,1,17.450541008457975
30,59906.326209,-1.3333333333333333,5.033222956847166,c,3,20.39795956720854
31,59927.046470999994,-4.75,5.25594901040716,c,4,20.350947130793493
32,59928.282856499995,-5.5,7.7781745930520225,c,2,19.925380770844367
33,59753.59220299999,-8.5,7.254309064273454,o,4,20.001084853105297
34,59766.575064,-4.333333333333333,10.424330514074592,o,3,19.607454557474604
35,59769.150685,-3.5,8.902246907382429,o,2,19.778825900547716
36,59770.555362,-2.0,9.192388155425117,o,2,19.744004102972838
37,59772.572084666666,-6.0,9.683892697555967,o,3,19.68745006767704
38,59773.0887965,11.5,17.5,o,2,19.044979867444216
39,59774.538663,8.0,16.53405576378645,o,4,19.106626494102834
40,59777.028715,-21.0,42.0,o,1,18.0944517631652
41,59781.102686,-1.0,6.887488656977955,o,4,20.057422747610506
42,59783.353491999995,-27.5,80.15609770940699,o,2,17.392733574155784
43,59786.566656,0.3333333333333333,7.3181661333667165,o,3,19.991569328160544
44,59787.37822025,0.0,5.402545696243577,o,4,20.32107886677222
45,59794.5977165,-6.0,9.5524865872714,o,2,19.70228389774931
46,59799.261492,-4.0,25.0,o,1,18.657724967479858
47,59800.43378666666,9.666666666666666,11.377365443917341,o,3,19.512470719256562
48,59801.02279375,-4.25,9.90265116016918,o,4,19.663196287996186
49,59808.584848,-15.5,11.335784048754634,o,2,19.51644607957581
50,59810.474233,-1.0,14.0,o,1,19.287254899964356
51,59812.5239335,-6.0,11.01135777277262,o,2,19.547972805067076
52,59813.088647,-13.0,7.433034373659253,o,2,19.974659636213516
53,59814.54913475001,-5.5,7.644442425710328,o,4,19.94421045388921
54,59818.509162,-0.5,9.924716620639604,o,2,19.66077970103794
55,59822.4648855,3.5,10.0,o,2,19.65257498915995
56,59824.98537825,-10.25,5.425633603552677,o,4,20.316448833568735
57,59826.466894666664,-4.333333333333333,8.27982823224948,o,3,19.857521670917556
58,59827.200082,25.0,17.0,o,1,19.076452685714266
59,59828.939651,-7.666666666666667,10.077477638553983,o,3,19.64419538129182
60,59830.4309975,12.25,14.004463574160917,o,4,19.28690879341621
61,59831.21458125,-1.5,17.68650615582399,o,4,19.033469865210687
62,59836.69819916666,-2.3333333333333335,8.32666399786453,o,6,19.85139738885608
63,59837.4362918,-4.8,10.017983829094556,o,5,19.650624173356736
64,59838.43402025,-1.75,4.8363855305382755,o,8,20.441272706210995
65,59840.4739955,-9.5,8.845903006477066,o,2,19.785719556386844
