,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,521114100000042,44827236,2458202.7775062076,58202.2723611,18.525381,0.047630075,0,zg,158.6995427,15.4895922,1.095,0.06,20180325272350,521,14,1,20.91,26.292883,0.035335828,-0.03751643,3.8640737e-05,30.0,1.082,1
1,521114100000042,47516560,2458229.6689846655,58229.1656019,18.573177,0.049326897,0,zg,158.6996285,15.4896234,0.74,0.032,20180421165567,521,14,1,20.66,26.30505,0.04270357,-0.108673766,6.528365e-05,30.0,1.082,1
2,521114100000042,48116995,2458235.6728350753,58235.1699537,18.671906,0.053053185,0,zg,158.6995614,15.4895893,0.794,0.104,20180427169884,521,14,1,20.1,26.310474,0.04146307,-0.072501555,7.775942e-05,30.0,1.077,1
3,521114100000042,48120800,2458235.710887402,58235.2080093,18.627367,0.051334415,0,zg,158.6996279,15.4895755,0.557,-0.006,20180427207998,521,14,1,20.27,26.321198,0.041233234,-0.07939854,7.261185e-05,30.0,1.111,1
4,521114100000042,48414825,2458238.6508742403,58238.1482523,18.6535,0.05233525,0,zg,158.6995516,15.4895427,1.114,0.093,20180430148229,521,14,1,20.01,26.311178,0.037297074,-0.08594069,6.730425e-05,30.0,1.078,1
5,521114100000042,48820459,2458242.7068535495,58242.2045949,18.538963,0.048105363,0,zg,158.6995873,15.4896507,0.871,0.007,20180504204537,521,14,1,21.03,26.256136,0.03742921,-0.104873076,4.6842266e-05,30.0,1.143,1
6,521114100000042,49122848,2458245.7304650415,58245.2284838,18.615755,0.05089658,32768,zg,158.6995366,15.4896302,0.871,0.197,20180507228461,521,14,1,19.8,24.884022,0.077971995,-0.032008767,0.00037789473,30.0,1.25,1
7,521114100000042,49417195,2458248.6736626127,58248.171956,18.647512,0.05210402,0,zg,158.6995595,15.4896266,1.142,0.108,20180510171944,521,14,1,21.56,26.322287,0.030670552,-0.108876154,2.5761363e-05,30.0,1.111,1
8,521114100000042,51523489,2458269.734567519,58269.2348958,18.567041,0.049105205,0,zg,158.6995745,15.489628,1.368,0.131,20180531234826,521,14,1,19.89,26.169344,0.03770505,-0.054330524,7.419096e-05,30.0,1.857,1
9,521114100000042,52518961,2458279.68833434,58279.1896181,18.52867,0.04774467,0,zg,158.6995307,15.4895369,1.381,0.046,20180610189225,521,14,1,20.99,26.200678,0.036558844,-0.088465326,3.903239e-05,30.0,1.63,1
10,521114100000042,68449858,2458438.997704774,58438.498588,18.603474,0.0504381,0,zg,158.6995479,15.4895778,1.884,0.12,20181116498588,521,14,1,21.5,26.255613,0.032076705,-0.07783482,2.798782e-05,30.0,1.364,1
11,521114100000042,68549927,2458439.9984861705,58439.4992708,18.706104,0.054416206,0,zg,158.6995645,15.4895943,1.53,0.102,20181117499271,521,14,1,21.69,26.0835,0.029130284,-0.068730906,2.2994156e-05,30.0,1.343,1
12,521114100000042,68751880,2458442.018223109,58441.5188079,18.753386,0.05636411,0,zg,158.6995241,15.4895797,1.25,0.07,20181119518796,521,14,1,21.45,26.145441,0.032590274,-0.08293357,2.9082496e-05,30.0,1.225,1
13,521114100000042,70746049,2458461.9618971674,58461.4604977,18.648388,0.052137785,32768,zg,158.6995441,15.4896113,0.897,0.104,20181209460486,521,14,1,21.11,25.66149,0.035070553,-0.06040461,3.7230777e-05,30.0,1.24,1
14,521114100000042,71049818,2458464.9998775143,58464.4981829,18.612787,0.05078538,0,zg,158.699567,15.4895923,1.298,0.114,20181212498183,521,14,1,21.68,26.29248,0.024279697,-0.05490211,1.5892956e-05,30.0,1.115,1
15,521114100000042,72649914,2458481.0023008315,58480.4991435,18.612373,0.050769903,0,zg,158.6995989,15.48963,1.084,0.05,20181228499144,521,14,1,20.21,26.277555,0.044223607,-0.025732331,7.993587e-05,30.0,1.085,1
16,521114100000042,72850668,2458483.010016288,58482.5066898,18.669828,0.052971594,0,zg,158.6995747,15.4896251,0.913,-0.0,20181230506678,521,14,1,21.07,26.302143,0.034938972,-0.081250645,3.5646688e-05,30.0,1.091,1
17,521114100000042,73243472,2458486.9383680886,58486.4347222,18.769413,0.057041477,0,zg,158.6995688,15.4895646,1.198,0.02,20190103434688,521,14,1,21.11,26.301205,0.033358775,-0.054953124,3.1384505e-05,30.0,1.12,1
18,521114100000042,74046331,2458494.9675553814,58494.4633102,18.612686,0.05078159,0,zg,158.6995483,15.4895972,1.716,0.036,20190111463299,521,14,1,21.5,26.26474,0.029861888,-0.06953144,2.4790479e-05,30.0,1.077,1
19,521114100000042,74843978,2458502.9445395623,58502.4397801,18.583988,0.049720168,0,zg,158.6995605,15.4896163,0.789,-0.002,20190119439722,521,14,1,20.1,26.317703,0.04035349,-0.102928974,8.1112055e-05,30.0,1.077,1
20,521114100000042,75452519,2458509.030288327,58508.5251968,18.687765,0.053680554,0,zg,158.6995042,15.4895465,1.009,-0.037,20190125525185,521,14,1,19.98,26.248627,0.03630509,-0.035859115,6.30894e-05,30.0,1.336,1
21,521114100000042,76843055,2458522.9361899258,58522.4305556,18.712402,0.054671377,0,zg,158.6996077,15.4895823,1.405,0.007,20190208430556,521,14,1,20.88,26.241484,0.036661826,-0.034576792,4.0529318e-05,30.0,1.127,1
22,521114100000042,78429435,2458538.800208519,58538.2943519,18.903685,0.06306795,32768,zg,158.6995791,15.489656,0.621,0.219,20190224294294,521,14,1,19.99,25.151058,0.047456488,-0.052472133,0.00012630796,30.0,1.109,1
23,521114100000042,79227201,2458546.7778181997,58546.2720139,18.945848,0.06509461,0,zg,158.6995625,15.4896085,1.428,0.068,20190304271991,521,14,1,21.71,26.250572,0.027787713,-0.07417201,2.1081805e-05,30.0,1.11,1
24,521114100000042,80234064,2458556.846231169,58556.3406481,18.709965,0.054572444,65535,zg,158.699624,15.4896586,0.842,-0.009,20190314340637,521,14,1,20.71,26.266947,0.036591172,-0.051004622,4.53627e-05,30.0,1.134,1
25,521114100000042,80531090,2458559.816388619,58559.3109028,18.837803,0.060031258,0,zg,158.6995779,15.4896278,0.654,0.004,20190317310891,521,14,1,20.44,26.257093,0.03699824,-0.048044693,5.2998297e-05,30.0,1.096,1
26,521114100000042,82619491,2458580.6993454844,58580.194919,18.856138,0.060860686,0,zg,158.6995549,15.4895674,1.255,0.085,20190407194919,521,14,1,21.48,26.277117,0.031627655,-0.09160967,2.7758762e-05,30.0,1.089,1
27,521114100000042,83216935,2458586.673367074,58586.1693519,18.806522,0.058643594,0,zg,158.6995757,15.4895542,1.07,0.143,20190413169352,521,14,1,20.89,26.19457,0.033377185,-0.042398173,3.598109e-05,30.0,1.1,1
28,521114100000042,83718440,2458591.688048541,58591.1844097,18.838125,0.060045715,0,zg,158.6995714,15.4895707,0.908,0.125,20190418184410,521,14,1,20.27,26.203924,0.04057483,-0.03869267,7.058477e-05,30.0,1.077,1
29,521114100000042,112941900,2458883.9245055206,58883.4190046,18.796938,0.05822526,0,zg,158.6996678,15.489591,1.417,0.171,20200204419005,521,14,1,20.31,26.298262,0.03972272,-0.043814555,6.139224e-05,30.0,1.091,1
30,521114100000042,115825442,2458912.7602150575,58912.2544213,19.012339,0.0684262,0,zg,158.6996306,15.4895985,0.815,0.096,20200304254421,521,14,1,20.67,26.300692,0.038290832,-0.060927894,5.035164e-05,30.0,1.14,1
31,521114100000042,118225219,2458936.757169518,58936.2521991,18.971413,0.0663557,65535,zg,158.699547,15.4895559,1.759,0.236,20200328251910,521,14,1,21.49,26.25123,0.03877305,-0.08912417,4.3292708e-05,30.0,1.077,1
32,521114100000042,139850861,2459153.006170154,59152.5086111,18.758743,0.056589603,65535,zg,158.6996497,15.4895682,0.47,-0.073,20201030508611,521,14,1,20.06,26.273972,0.039850555,-0.007745771,6.911328e-05,30.0,1.632,1
33,521114100000042,141152446,2459166.0232431376,59165.5244676,18.872162,0.061595444,0,zg,158.6995369,15.4895875,1.14,0.114,20201112524456,521,14,1,21.62,26.349932,0.030889498,-0.07665611,2.5909909e-05,30.0,1.262,1
34,521114100000042,141450310,2459169.002168419,59168.5031019,18.89727,0.06276536,0,zg,158.6995979,15.4895948,1.295,0.114,20201115503102,521,14,1,21.3,26.331362,0.030352728,-0.066582166,2.559672e-05,30.0,1.329,1
35,521114100000042,142250476,2459177.004629322,59176.5047685,18.701067,0.054213025,0,zg,158.6995477,15.4895662,1.068,0.011,20201123504757,521,14,1,21.25,26.322145,0.031803716,-0.08053763,2.7580572e-05,30.0,1.219,1
36,521114100000042,142548471,2459179.984869502,59179.4847106,18.801767,0.058435638,0,zg,158.6995029,15.4896175,1.459,0.123,20201126484699,521,14,1,21.29,26.341639,0.034954965,-0.07425059,3.3748747e-05,30.0,1.269,1
37,521114100000042,142752653,2459182.0269026053,59181.5265394,18.726273,0.055237986,0,zg,158.6995775,15.4895771,0.626,0.033,20201128526539,521,14,1,20.99,26.368773,0.034359816,-0.057404034,3.4668454e-05,30.0,1.119,1
