,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,286114200014958,50448004,2458258.9830270186,58258.4800463,19.914284,0.12480765,0,zg,302.9122739,-21.1601663,0.705,-0.082,20180520479896,286,14,2,20.62,26.12601,0.025047991,-0.0335101,1.0506149e-05,30.0,1.894,1
1,286114200014958,52344003,2458277.9444875806,58277.4400347,20.293587,0.16019928,0,zg,302.9125683,-21.1601026,0.715,0.142,20180608439595,286,14,2,20.69,26.082258,0.022343315,-0.069383256,8.4983385e-06,30.0,1.877,1
2,286114200014958,52641740,2458280.9220556165,58280.4174074,20.21867,0.15287639,0,zg,302.9121877,-21.1602075,0.61,-0.019,20180611417292,286,14,2,21.2,26.17773,0.020395413,-0.048509255,7.0444376e-06,30.0,1.905,1
3,286114200014958,52941729,2458283.9221253353,58283.4172917,20.234703,0.15443425,0,zg,302.9123002,-21.1601716,0.874,0.011,20180614417176,286,14,2,21.1,26.183859,0.021051258,-0.05172457,7.628617e-06,30.0,1.888,1
4,286114200014958,53241797,2458286.922981695,58286.4179745,20.094519,0.14104386,0,zg,302.9120943,-21.1601694,1.436,0.005,20180617417361,286,14,2,21.33,26.213829,0.019086994,-0.063111566,6.263731e-06,30.0,1.876,1
5,286114200014958,53539653,2458289.9017066094,58289.3965394,19.792664,0.11460895,0,zg,302.91257,-21.1603241,0.987,-0.405,20180620396470,286,14,2,20.03,26.17828,0.033167977,-0.04851223,1.8713974e-05,30.0,1.899,1
6,286114200014958,53941078,2458293.916150025,58293.410787,20.21438,0.15246062,0,zg,302.9122138,-21.1603735,0.797,0.033,20180624410625,286,14,2,20.3,26.191597,0.02719289,-0.052385274,1.253529e-05,30.0,1.878,1
7,286114200014958,55041881,2458304.9245966347,58304.4188194,20.131638,0.14453396,0,zg,302.9121452,-21.1603139,0.842,0.061,20180705418634,286,14,2,20.38,26.180737,0.024771705,-0.09161869,1.0553411e-05,30.0,1.981,1
8,286114200014958,56641899,2458320.925030118,58320.4189931,20.292633,0.16010544,32768,zg,302.9120665,-21.1602572,0.857,-0.297,20180721418970,286,14,2,20.36,25.351877,0.031416383,-0.021834213,1.6498907e-05,30.0,2.375,1
9,286114200014958,58031422,2458334.820145599,58334.3142245,20.437706,0.17446184,0,zg,302.9123289,-21.1601934,0.552,-0.206,20180804314213,286,14,2,20.68,26.096483,0.022391668,-0.061364062,8.640903e-06,30.0,1.922,1
10,286114200014958,58435792,2458338.8637562054,58338.3579282,20.060345,0.13787161,0,zg,302.9121253,-21.1601326,0.754,-0.037,20180808357905,286,14,2,20.52,26.06434,0.024426617,-0.0757455,1.0305625e-05,30.0,2.242,3
11,286114200014958,58831015,2458342.815862069,58342.3101505,19.83554,0.11813032,0,zg,302.9122264,-21.1601394,0.786,-0.222,20180812310139,286,14,2,20.54,25.864632,0.026839811,-0.030389313,1.2037054e-05,30.0,1.988,3
12,286114200014958,58831106,2458342.816776331,58342.3110648,20.322058,0.16300654,0,zg,302.9120694,-21.1604759,0.869,-0.131,20180812311065,286,14,2,20.51,25.87014,0.027812717,-0.032840118,1.2916889e-05,30.0,1.992,1
13,286114200014958,59130800,2458345.813616,58345.3080093,20.198004,0.15087722,0,zg,302.911863,-21.1601295,0.795,0.143,20180815307998,286,14,2,20.21,26.060316,0.03415604,-0.10793395,2.0671972e-05,30.0,2.022,1
14,286114200014958,59433556,2458348.8410537685,58348.3355671,20.011995,0.13345486,0,zg,302.9120707,-21.1597548,0.752,0.181,20180818335556,286,14,2,20.32,26.063126,0.030342203,-0.105120406,1.6059032e-05,30.0,2.322,1
15,286114200014958,60825167,2458362.7564405953,58362.2516782,20.087639,0.14040211,0,zg,302.9123198,-21.1602357,0.837,-0.079,20180901251667,286,14,2,20.51,26.214828,0.02370066,-0.05890148,9.739858e-06,30.0,1.92,1
16,286114200014958,61527333,2458369.7776306937,58369.2733333,20.325737,0.16336998,0,zg,302.9123547,-21.1601678,0.986,0.135,20180908273299,286,14,2,20.91,26.08812,0.020899482,-0.042637747,7.436464e-06,30.0,2.188,1
17,286114200014958,62025083,2458374.7547648307,58374.2508333,19.880531,0.121912666,0,zg,302.9122225,-21.1601181,0.545,-0.004,20180913250718,286,14,2,20.59,26.195683,0.022442933,-0.06647397,8.591294e-06,30.0,2.106,1
18,286114200014958,88841773,2458642.922166269,58642.4177315,20.115623,0.14302278,0,zg,302.9122125,-21.160169,1.044,0.185,20190608417396,286,14,2,21.31,26.115768,0.021504533,-0.03519159,7.839864e-06,30.0,1.92,1
19,286114200014958,89139966,2458645.904295576,58645.3996644,20.133608,0.14472035,0,zg,302.9120992,-21.1601862,0.775,-0.107,20190611399468,286,14,2,20.75,26.06024,0.02634415,-0.06412943,1.1737211e-05,30.0,1.963,1
20,286114200014958,91342173,2458667.927444251,58667.4217361,20.14855,0.14613856,0,zg,302.9120131,-21.1601438,1.468,0.035,20190703421574,286,14,2,21.15,26.128523,0.021974389,-0.05494884,8.169629e-06,30.0,1.936,1
21,286114200014958,91641837,2458670.924178563,58670.4183796,20.234365,0.1544013,0,zg,302.9122256,-21.1601689,0.451,0.067,20190706418229,286,14,2,21.32,26.088728,0.020409182,-0.04467703,6.954242e-06,30.0,1.958,1
22,286114200014958,91933456,2458673.840433826,58673.3345602,20.34402,0.16517818,0,zg,302.9120968,-21.1600054,0.966,0.144,20190709334109,286,14,2,21.09,26.047762,0.021702632,-0.054036018,8.06563e-06,30.0,1.912,1
23,286114200014958,93629260,2458690.798638362,58690.2926042,20.069124,0.13868263,0,zg,302.9120758,-21.1601423,1.101,0.115,20190726292465,286,14,2,21.12,25.968742,0.020089269,-0.043124054,6.890822e-06,30.0,1.897,1
24,286114200014958,93629350,2458690.7995410585,58690.2935069,20.238707,0.15482411,0,zg,302.9121464,-21.1601578,0.488,0.157,20190726293507,286,14,2,21.09,25.980288,0.021146543,-0.05631512,7.476233e-06,30.0,1.895,3
25,286114200014958,93929239,2458693.798409077,58693.2923958,20.199236,0.15099616,0,zg,302.9121576,-21.1602597,1.086,0.006,20190729292326,286,14,2,20.85,26.07976,0.023533251,-0.040480632,9.223151e-06,30.0,1.877,1
26,286114200014958,94138500,2458695.8909898507,58695.385,20.050655,0.13697961,0,zg,302.9121538,-21.1600963,0.485,-0.05,20190731385000,286,14,2,20.92,26.029905,0.021160338,-0.045659404,7.66929e-06,30.0,2.228,3
27,286114200014958,96023056,2458714.736026878,58714.2305671,19.818764,0.11674267,0,zg,302.9122089,-21.1601637,0.881,-0.171,20190819229954,286,14,2,20.36,26.098246,0.024712931,-0.054497804,1.0210894e-05,30.0,1.888,1
28,286114200014958,96024694,2458714.7524034753,58714.2469444,20.280605,0.15892327,0,zg,302.9121598,-21.1602697,0.736,0.005,20190819246944,286,14,2,20.52,26.084217,0.025312202,-0.040386528,1.0805432e-05,30.0,1.86,3
