,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,295116400011641,54748038,2458301.981603347,58301.4803819,17.836987,0.028784335,0,zg,5.9869543,-14.4232847,1.007,0.069,20180702480370,295,16,4,19.89,26.073729,0.040056206,-0.049558923,8.056509e-05,30.0,1.958,1
1,295116400011641,55148025,2458305.981843385,58305.4802546,17.73261,0.027085703,0,zg,5.9869503,-14.4232842,0.966,0.033,20180706480116,295,16,4,19.94,26.06992,0.039955873,-0.086880215,7.1745286e-05,30.0,1.861,1
2,295116400011641,56646024,2458320.9631382097,58320.4602431,17.852613,0.02905315,0,zg,5.9869934,-14.4232904,2.363,0.135,20180721460231,295,16,4,21.29,25.854023,0.035284612,-0.09263863,3.595174e-05,30.0,1.729,1
3,295116400011641,56943928,2458323.942419176,58323.4392824,17.80344,0.02822027,0,zg,5.9869458,-14.4232691,2.522,0.14,20180724439271,295,16,4,21.43,26.136053,0.03261286,-0.093104236,3.006229e-05,30.0,1.807,1
4,295116400011641,57246020,2458326.9635825567,58326.4602083,17.899862,0.029889898,32768,zg,5.9870483,-14.4233827,0.716,0.146,20180727460197,295,16,4,19.25,25.416344,0.045805555,-0.031816028,0.00022802313,30.0,1.659,1
5,295116400011641,57546056,2458329.964169082,58329.4605671,17.897995,0.029856142,0,zg,5.9870869,-14.4232549,0.713,0.069,20180730460556,295,16,4,19.68,26.108828,0.03770058,-0.08880512,8.614309e-05,30.0,1.632,1
6,295116400011641,57943915,2458333.943045619,58333.4391551,17.842508,0.028878875,0,zg,5.9869707,-14.4232686,1.513,0.094,20180803439155,295,16,4,20.24,26.100824,0.04030079,-0.08336428,6.49125e-05,30.0,1.667,1
7,295116400011641,58248221,2458336.986310715,58336.4822106,17.670229,0.026147073,32768,zg,5.9870122,-14.4233126,0.804,0.008,20180806482199,295,16,4,20.58,26.229828,0.03936527,-0.12735584,5.5767134e-05,30.0,1.594,1
8,295116400011641,58841802,2458342.9224996343,58342.4180208,17.811031,0.028346376,0,zg,5.9870066,-14.4233193,2.956,0.307,20180812418021,295,16,4,21.67,25.970388,0.029679934,-0.057429276,2.5263602e-05,30.0,1.664,1
9,295116400011641,58843649,2458342.9409730504,58342.4364931,17.797272,0.02811846,0,zg,5.9870095,-14.4232999,3.685,0.365,20180812436493,295,16,4,21.73,25.944574,0.026430845,-0.059510455,1.9785408e-05,30.0,1.616,3
10,295116400011641,59039827,2458344.9028712204,58344.3982755,17.847082,0.028957559,0,zg,5.9869644,-14.4232884,3.098,0.426,20180814398264,295,16,4,21.62,26.052973,0.028886663,-0.04838551,2.4451101e-05,30.0,1.723,3
11,295116400011641,59141261,2458345.9172693803,58345.4126157,17.812607,0.02837267,0,zg,5.9869599,-14.4232994,3.309,0.27,20180815412581,295,16,4,21.63,26.033806,0.026740875,-0.06676873,2.0374688e-05,30.0,1.658,1
12,295116400011641,59141353,2458345.91818383,58345.4135301,17.821342,0.028519107,0,zg,5.9869932,-14.4232751,3.616,0.394,20180815413519,295,16,4,21.65,26.036592,0.029682014,-0.06418401,2.514145e-05,30.0,1.655,3
13,295116400011641,59235530,2458346.8600072283,58346.3553009,17.870136,0.02935922,0,zg,5.9870166,-14.423301,2.356,0.215,20180816355266,295,16,4,21.55,25.947853,0.028902283,-0.0694045,2.386659e-05,30.0,2.015,3
14,295116400011641,59333589,2458347.8406510856,58347.3358912,17.828577,0.028641291,0,zg,5.9869908,-14.4232926,2.251,0.12,20180817335880,295,16,4,21.31,25.86275,0.033184495,-0.050200235,3.1928717e-05,30.0,2.235,3
15,295116400011641,59437769,2458348.8825122374,58348.3776968,17.826803,0.028611258,0,zg,5.9870072,-14.4232786,2.816,0.261,20180818377685,295,16,4,21.76,26.048607,0.028119491,-0.049591474,2.2651735e-05,30.0,1.784,1
16,295116400011641,59438046,2458348.8852785844,58348.380463,17.80584,0.02826004,0,zg,5.9870033,-14.4233003,2.885,0.337,20180818380451,295,16,4,21.76,26.046543,0.025914993,-0.05576009,1.916088e-05,30.0,1.767,3
17,295116400011641,59642168,2458350.9266099865,58350.4216898,17.750683,0.027368084,0,zg,5.9869704,-14.4233002,3.424,0.355,20180820421690,295,16,4,21.94,26.104969,0.026648045,-0.05211615,2.0380367e-05,30.0,1.612,3
18,295116400011641,59741836,2458351.923337307,58351.4183681,17.80225,0.028200585,0,zg,5.9869765,-14.4233135,3.774,0.463,20180821418368,295,16,4,21.98,26.114046,0.025771627,-0.057284396,1.874615e-05,30.0,1.612,3
19,295116400011641,59742569,2458351.9306639615,58351.4256944,17.82331,0.028552266,0,zg,5.9869863,-14.4232766,3.369,0.487,20180821425683,295,16,4,21.96,26.127174,0.025321666,-0.06670735,1.8164681e-05,30.0,1.606,1
20,295116400011641,60639719,2458360.902547075,58360.3971991,17.798573,0.028139882,0,zg,5.9869536,-14.4232629,0.401,-0.003,20180830397199,295,16,4,20.12,26.201113,0.03872081,-0.045384854,6.351005e-05,30.0,1.571,3
21,295116400011641,60639902,2458360.9043758386,58360.3990278,17.756495,0.027459908,0,zg,5.9869794,-14.4233389,0.935,0.05,20180830399028,295,16,4,19.96,26.208841,0.043795194,-0.04746267,8.750835e-05,30.0,1.569,1
22,295116400011641,60739888,2458361.9042718937,58361.3988889,17.838568,0.028811349,0,zg,5.986971,-14.4233099,2.599,0.357,20180831398877,295,16,4,20.69,26.202248,0.032680184,-0.047608323,3.7437105e-05,30.0,1.567,3
23,295116400011641,60846123,2458362.9666568823,58362.4612384,17.86512,0.02927109,0,zg,5.9869844,-14.4233043,2.046,0.196,20180901461227,295,16,4,20.76,26.162725,0.030534057,-0.055842146,3.171322e-05,30.0,1.704,3
24,295116400011641,60935557,2458363.8610257697,58363.3555787,17.794151,0.028067168,0,zg,5.9869673,-14.4233007,1.303,0.046,20180902355579,295,16,4,20.65,26.148785,0.0373521,-0.072586864,4.8095833e-05,30.0,1.648,1
25,295116400011641,60935649,2458363.8619401986,58363.3564931,17.836182,0.0287706,0,zg,5.9869693,-14.4233175,1.96,0.132,20180902356493,295,16,4,20.83,26.128996,0.03546924,-0.059964005,3.9553823e-05,30.0,1.644,3
26,295116400011641,61141687,2458365.9223833056,58365.416875,17.847462,0.028964093,0,zg,5.9870086,-14.4232828,2.683,0.218,20180904416863,295,16,4,21.33,26.179144,0.027943324,-0.07779062,2.2621816e-05,30.0,1.584,3
27,295116400011641,61243658,2458366.942121783,58366.4365856,17.844719,0.02891685,0,zg,5.9869667,-14.4232517,2.542,0.152,20180905436586,295,16,4,21.47,26.173388,0.03226403,-0.073546864,2.9791436e-05,30.0,1.644,1
28,295116400011641,61243751,2458366.9430478057,58366.4375116,17.863636,0.029245097,0,zg,5.9869907,-14.4232732,2.863,0.141,20180905437500,295,16,4,21.37,26.1824,0.02802759,-0.08925993,2.2922057e-05,30.0,1.647,3
29,295116400011641,61341871,2458367.924276816,58367.4187153,17.834538,0.028742569,0,zg,5.9870094,-14.4233113,3.389,0.301,20180906418704,295,16,4,21.69,26.157177,0.025848735,-0.07252381,1.909003e-05,30.0,1.598,3
30,295116400011641,61438483,2458368.890422972,58368.384838,17.866985,0.02930382,0,zg,5.9869773,-14.4232537,2.068,0.092,20180907384826,295,16,4,21.54,26.188812,0.029140677,-0.09027635,2.4495448e-05,30.0,1.565,3
31,295116400011641,61532756,2458369.833175828,58369.3275694,17.873608,0.029420445,0,zg,5.9870031,-14.4232613,3.563,0.199,20180908327569,295,16,4,21.55,26.15061,0.025273977,-0.07162735,1.8437195e-05,30.0,1.699,1
32,295116400011641,61532848,2458369.83409025,58369.3284838,17.80542,0.028253075,0,zg,5.9869659,-14.4232743,2.259,0.247,20180908328484,295,16,4,21.55,26.141104,0.026588658,-0.06281656,2.0258916e-05,30.0,1.694,3
33,295116400011641,61637243,2458370.8780591893,58370.3724306,17.84292,0.028885957,0,zg,5.9869994,-14.4232789,3.136,0.385,20180909372419,295,16,4,21.67,26.164576,0.026533047,-0.05421471,1.9812978e-05,30.0,1.569,3
34,295116400011641,61735766,2458371.863309887,58371.357662,17.790297,0.028004035,0,zg,5.9869772,-14.423303,2.836,0.216,20180910357662,295,16,4,21.64,26.173855,0.02710839,-0.05490937,2.0777721e-05,30.0,1.583,3
35,295116400011641,61839778,2458372.903455977,58372.3977894,17.795494,0.02808923,0,zg,5.9869573,-14.423263,1.736,0.025,20180911397778,295,16,4,21.28,26.210785,0.03173843,-0.09835826,2.9761612e-05,30.0,1.584,3
36,295116400011641,61839870,2458372.904370292,58372.3987037,17.856827,0.02912628,0,zg,5.9869559,-14.4232808,2.285,0.11,20180911398692,295,16,4,21.49,26.184395,0.029149277,-0.05185454,2.4233846e-05,30.0,1.585,1
37,295116400011641,61937737,2458373.8830552963,58373.3773727,17.77592,0.02777051,0,zg,5.9869798,-14.4233134,2.137,0.047,20180912377361,295,16,4,21.27,26.201263,0.03550959,-0.091133915,3.655888e-05,30.0,1.566,3
38,295116400011641,62040053,2458374.9062300753,58374.4005324,17.802704,0.0282081,0,zg,5.9869769,-14.4233002,3.507,0.39,20180913400521,295,16,4,21.66,26.163961,0.025806611,-0.05159433,1.9095049e-05,30.0,1.6,3
39,295116400011641,62141927,2458375.924981809,58375.4192708,17.826586,0.028607568,0,zg,5.9869804,-14.4232938,1.813,0.07,20180914419259,295,16,4,21.24,26.19515,0.032674253,-0.10011787,3.0942105e-05,30.0,1.673,1
40,295116400011641,62142018,2458375.9258962194,58375.4201852,17.785349,0.0279233,0,zg,5.9870018,-14.4232905,2.467,0.312,20180914420185,295,16,4,21.35,26.145731,0.029724928,-0.03939814,2.5746245e-05,30.0,1.677,3
41,295116400011641,62233371,2458376.8394368687,58376.3337153,17.88089,0.029549526,0,zg,5.987,-14.4232557,2.376,0.256,20180915333715,295,16,4,21.69,26.193893,0.024080403,-0.07136031,1.6634436e-05,30.0,1.604,3
42,295116400011641,62335314,2458377.8588798353,58377.3531481,17.828894,0.028646642,32768,zg,5.9869558,-14.4233043,0.916,0.03,20180916353148,295,16,4,21.27,26.191534,0.028986268,-0.11580069,2.4892364e-05,30.0,1.569,3
43,295116400011641,62433474,2458378.8404853293,58378.3347454,17.85762,0.0291401,0,zg,5.9869875,-14.4232943,3.065,0.222,20180917334734,295,16,4,21.55,26.20146,0.026037835,-0.07428119,1.9505524e-05,30.0,1.59,1
44,295116400011641,62433748,2458378.84322835,58378.3374884,17.798977,0.028146539,0,zg,5.9870045,-14.4232942,3.203,0.412,20180917337477,295,16,4,21.6,26.18654,0.02644387,-0.06058341,2.0012709e-05,30.0,1.585,3
45,295116400011641,62535670,2458379.862448202,58379.3567014,17.834602,0.028743664,0,zg,5.9869556,-14.4233286,2.961,0.162,20180918356701,295,16,4,21.24,26.192257,0.030142598,-0.056871157,2.6027754e-05,30.0,1.565,3
46,295116400011641,62635791,2458380.8636685903,58380.3579167,17.689777,0.026435282,32768,zg,5.9869647,-14.4232827,1.103,-0.017,20180919357905,295,16,4,20.79,26.242245,0.03612248,-0.13415015,4.6588102e-05,30.0,1.566,3
47,295116400011641,62837862,2458382.8843798903,58382.3786227,17.932806,0.0304952,0,zg,5.9870209,-14.423304,1.116,0.077,20180921378611,295,16,4,20.58,26.174355,0.037065286,-0.06609368,4.91595e-05,30.0,1.6,1
48,295116400011641,62837952,2458382.885282691,58382.3795255,17.856705,0.029124169,0,zg,5.9869903,-14.4233019,1.774,0.138,20180921379525,295,16,4,20.66,26.147903,0.030529033,-0.044756215,3.233871e-05,30.0,1.603,3
49,295116400011641,62927248,2458383.778245807,58383.2724884,17.869505,0.029348096,0,zg,5.9869907,-14.4233229,0.94,0.071,20180922272477,295,16,4,19.87,26.073877,0.042294182,-0.06983883,9.104232e-05,30.0,1.802,3
50,295116400011641,63037581,2458384.881566107,58384.3758102,17.932602,0.030491397,32768,zg,5.9870442,-14.4233635,0.337,0.055,20180923375463,295,16,4,19.47,26.161144,0.074693084,-0.028479872,0.0004407672,30.0,1.607,3
51,295116400011641,63327304,2458387.7787865107,58387.273044,17.616653,0.025383998,32768,zg,5.9870534,-14.4233449,0.498,-0.008,20180926273044,295,16,4,19.11,26.194708,0.045580935,-0.11607164,0.00023516807,30.0,1.728,3
52,295116400011641,63327395,2458387.7797008064,58387.2739583,17.607483,0.025257237,0,zg,5.9868753,-14.4233094,0.557,0.003,20180926273958,295,16,4,19.05,26.192497,0.045214213,-0.08389776,0.0002308249,30.0,1.723,1
53,295116400011641,63437107,2458388.876810272,58388.3710764,17.890568,0.029722402,0,zg,5.9870056,-14.423324,0.801,0.054,20180927371065,295,16,4,19.88,26.158049,0.043312926,-0.065828405,9.283508e-05,30.0,1.625,3
54,295116400011641,63534068,2458389.8464075183,58389.3406829,17.871326,0.02938018,0,zg,5.9870047,-14.4233057,2.181,0.296,20180928340683,295,16,4,20.62,26.146616,0.03752889,-0.03737547,5.2133506e-05,30.0,1.57,3
