,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,519114400007635,44825605,2458202.760501931,58202.2560532,17.783325,0.02492318,0,zg,144.5068248,13.8880447,3.68,0.37,20180325256042,519,14,4,20.82,26.299189,0.031869512,-0.04609685,3.069538e-05,30.0,1.108,1
1,519114400007635,44826556,2458202.770015206,58202.2655671,17.779312,0.024856716,0,zg,144.5068807,13.8881001,3.606,0.344,20180325265475,519,14,4,20.83,26.287067,0.03202083,-0.031460937,3.1998305e-05,30.0,1.125,1
2,519114400007635,45323648,2458207.740588436,58207.2364815,17.977627,0.028466802,0,zg,144.5068779,13.8880659,2.038,0.212,20180330236400,519,14,4,20.11,26.350792,0.03320948,-0.06878866,4.8276757e-05,30.0,1.1,1
3,519114400007635,45325969,2458207.7638043603,58207.2596991,17.796425,0.025141878,0,zg,144.5067922,13.8880391,1.915,0.157,20180330259688,519,14,4,19.98,26.351536,0.035450645,-0.07828828,6.2264866e-05,30.0,1.143,1
4,519114400007635,45621410,2458210.717997469,58210.2141088,17.841034,0.025907809,32768,zg,144.506798,13.8880616,3.607,0.484,20180402214097,519,14,4,20.21,25.850964,0.04715895,-0.026306445,0.00010045552,30.0,1.085,1
5,519114400007635,45623143,2458210.735322569,58210.2314352,17.818846,0.02552272,0,zg,144.506823,13.8880317,2.733,0.364,20180402231424,519,14,4,20.1,26.085655,0.03484261,-0.040836055,5.5563578e-05,30.0,1.104,1
6,519114400007635,48022717,2458234.729002832,58234.2271759,17.79401,0.025101366,0,zg,144.5068053,13.8880605,2.009,0.28,20180426227153,519,14,4,20.15,26.278057,0.035457715,-0.044670343,5.0774626e-05,30.0,1.291,1
7,519114400007635,48320728,2458237.7088243617,58237.2072801,17.8661,0.026352827,0,zg,144.5068324,13.8881236,2.838,0.287,20180429207269,519,14,4,20.17,26.24328,0.03916012,-0.036988422,6.156781e-05,30.0,1.238,1
8,519114400007635,48919309,2458243.69405692,58243.1930903,17.681278,0.023311658,32768,zg,144.5068429,13.8881392,1.877,0.017,20180505193067,519,14,4,20.92,26.257385,0.036566135,-0.11564214,3.8365193e-05,30.0,1.248,1
9,519114400007635,49318687,2458247.687451179,58247.186875,17.80726,0.025324913,0,zg,144.5068814,13.8880274,5.855,0.641,20180509186863,519,14,4,21.73,26.285168,0.02717062,-0.077143356,1.8246781e-05,30.0,1.269,1
10,519114400007635,67152097,2458426.020009128,58425.5209722,17.614567,0.022342416,0,zg,144.5068092,13.8879941,0.861,-0.056,20181103520938,519,14,4,20.58,26.280027,0.038121667,-0.046906866,4.6504905e-05,30.0,1.23,1
11,519114400007635,67454356,2458429.042900816,58428.5435648,17.646444,0.022797568,0,zg,144.5068152,13.888044,4.488,0.54,20181106543495,519,14,4,21.22,26.266088,0.03357475,-0.015678389,2.7922297e-05,30.0,1.138,1
12,519114400007635,67654902,2458431.048563605,58430.5490278,17.773449,0.024760101,0,zg,144.5068366,13.8880355,3.728,0.369,20181108549028,519,14,4,21.18,26.301458,0.02986924,-0.056770872,2.2529011e-05,30.0,1.117,1
13,519114400007635,67747648,2458431.976109933,58431.4764815,17.578932,0.021850483,0,zg,144.506876,13.8880537,2.3,-0.011,20181109476435,519,14,4,20.42,26.194311,0.038468402,-0.040165752,4.779574e-05,30.0,1.369,1
14,519114400007635,68053966,2458435.039599814,58434.5396644,17.518661,0.021057596,0,zg,144.5068617,13.8879874,1.448,-0.037,20181112539664,519,14,4,20.46,26.290976,0.036657013,-0.026574386,4.4777782e-05,30.0,1.115,1
15,519114400007635,68348422,2458437.984455543,58437.4842245,17.643744,0.022758432,0,zg,144.5068058,13.8880471,3.043,0.083,20181115484213,519,14,4,21.01,26.27563,0.03723622,-0.045459058,3.791588e-05,30.0,1.246,1
16,519114400007635,68547472,2458439.9751530155,58439.4747222,17.74448,0.024290714,32768,zg,144.5068035,13.8880378,4.287,0.431,20181117474722,519,14,4,21.42,25.789883,0.038189914,-0.046829168,3.7543956e-05,30.0,1.263,1
17,519114400007635,68646060,2458440.961131538,58440.4606019,17.752989,0.024427218,0,zg,144.5068493,13.8880424,4.953,0.36,20181118460567,519,14,4,21.46,26.09231,0.03188129,-0.07528171,2.4720639e-05,30.0,1.319,1
18,519114400007635,68952083,2458444.0216689217,58443.5208333,17.832998,0.025767392,0,zg,144.5068071,13.888046,3.717,0.291,20181121520822,519,14,4,21.34,26.32489,0.02830445,-0.08331405,2.002641e-05,30.0,1.107,1
19,519114400007635,70747733,2458461.9799026647,58461.477338,17.791004,0.025051039,0,zg,144.5068134,13.888075,2.691,0.187,20181209477338,519,14,4,21.25,26.016846,0.03262506,-0.05106982,2.7009843e-05,30.0,1.1,1
20,519114400007635,71049956,2458465.002397073,58464.4995602,17.696533,0.023542438,0,zg,144.5068098,13.8880814,4.18,0.268,20181212499549,519,14,4,21.37,26.30388,0.030729258,-0.042459045,2.342513e-05,30.0,1.084,1
21,519114400007635,71347790,2458467.9810027736,58467.4779051,17.806252,0.025307797,32768,zg,144.5068423,13.8880774,1.867,0.284,20181215477894,519,14,4,20.26,24.961092,0.039833426,-0.06536527,6.744167e-05,30.0,1.087,1
22,519114400007635,71850159,2458473.005116049,58472.5015972,17.74684,0.024328444,0,zg,144.5068779,13.888112,4.248,0.463,20181220501528,519,14,4,20.99,26.291952,0.033363923,-0.024875259,3.032931e-05,30.0,1.098,1
23,519114400007635,72151707,2458476.0208310694,58475.5170718,17.894363,0.026867568,0,zg,144.5067939,13.8880612,2.592,0.288,20181223517072,519,14,4,20.26,26.349548,0.03339554,-0.064698905,4.5085057e-05,30.0,1.133,1
24,519114400007635,72648451,2458480.9886469804,58480.4845139,17.622528,0.022454727,0,zg,144.5067993,13.8880802,1.901,0.055,20181228484502,519,14,4,20.4,26.285995,0.03429514,-0.03526621,3.9450035e-05,30.0,1.103,1
25,519114400007635,72851537,2458483.0196477603,58482.5153704,17.754051,0.024444334,0,zg,144.506836,13.888047,3.843,0.288,20181230515359,519,14,4,21.16,26.283588,0.030137872,-0.04092316,2.3671239e-05,30.0,1.177,1
26,519114400007635,73243792,2458486.9424692555,58486.4379282,17.59639,0.022089293,0,zg,144.5067948,13.8880254,1.045,-0.012,20190103437917,519,14,4,20.78,26.321114,0.031632625,-0.05582101,2.98932e-05,30.0,1.084,1
