,name,mjd,p,p_up,p_lo,log_F_nu,log_F_nu_up,log_F_nu_lo,log_nu_a,log_nu_a_up,log_nu_a_lo,z,lum_dist,disc_date,dt,log_F_nu_uplim,log_nu_a_uplim,p_uplim,Req,Eeq,Req_up,Eeq_up,Req_lo,Eeq_lo,Gamma,Eeq_uplim,Req_uplim
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.2400192551729185e+18,1.5117984014831756e+51,1.2481118849863654e+17,1.8227642413894126e+50,1.2481118849863654e+17,1.8227642413894126e+50,1,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,6.260370526845051e+17,1.0867537061366683e+51,4138165229474944.0,2.8398433948888885e+49,4138165229474944.0,2.8398433948888885e+49,1,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,4.385355724909696e+17,5.540317432777435e+50,2499621155106624.0,7.095947519813148e+48,2499621155106624.0,7.095947519813148e+48,1,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,1.2404882295239217e+19,5.396037202894436e+50,1.5529430736739738e+18,8.748213052215849e+49,1.5529430736739738e+18,8.748213052215849e+49,1,True,True
4,SDSSJ1241,59500.0,3.646321459689507,0.2639450631984688,0.5770979070096716,1.4007928006612786,0.43337420459504217,0.6017981959006347,8.43722836313998,0.42056026290218895,0.3430022354866473,0.0419,5.909864716230627e+26,53062.0,6438.0,True,False,True,2.6920845228697416e+18,4.39297153053396e+51,2.4746497293653248e+17,6.683242402893315e+50,2.4746497293653248e+17,6.683242402893315e+50,1,True,True
5,SDSSJ0938,57459.0,3.1942505417312352,0.3718037524772271,0.4046432664035655,1.1219705156244708,0.6051582983422694,0.4559333066711384,8.652002326421321,0.5570537300045899,0.6101007778552514,0.101,1.483898232805616e+27,54092.0,3367.0,True,False,True,2.337741313459926e+18,3.0331119629395926e+51,4.380845597281193e+17,5.117323356740895e+50,4.380845597281193e+17,5.117323356740895e+50,1,True,True
6,SDSSJ0938,57912.0,3.0866630709119827,0.15778121819045632,0.13596518519398648,1.1987638509115746,0.5349091281619953,0.23830129103885167,8.436691559018055,0.3288549942920991,0.571719488145277,0.101,1.483898232805616e+27,54092.0,3820.0,True,False,False,4.3633398020173414e+18,5.3543762372716284e+51,3.767606984267653e+17,7.285247387285868e+50,3.767606984267653e+17,7.285247387285868e+50,1,True,True
7,SDSSJ0748,57458.0,2.8055523060055902,0.6319453161004329,0.47916699021094633,0.4965272962794949,0.9656939419930448,0.8393908594101118,8.147338984943868,1.0377004117555426,1.1568767007352543,0.0615,8.795977704544693e+26,52935.0,4523.0,True,True,True,2.328573957482061e+18,2.0943165583984506e+50,5.919347626238853e+17,7.408600969465305e+49,5.919347626238853e+17,7.408600969465305e+49,1,True,True
8,SDSSJ0748,57914.0,2.600990331407302,0.44512343513488206,0.2860965135307598,0.378761788201575,0.9216552232902895,0.7318628774042338,7.727497910422579,1.0401263195069879,1.119538958946304,0.0615,8.795977704544693e+26,52935.0,4979.0,True,False,False,4.965216527461972e+18,2.0799433282252623e+50,1.8527094101139517e+18,5.677842198086977e+49,1.8527094101139517e+18,5.677842198086977e+49,1,True,True
0,SDSSJ1241,57629.5,3.571882618919618,0.2076838148715452,0.3524999085264038,1.348284568266687,0.445148240924472,0.3657165010508713,8.743546984470985,0.36873045628976797,0.3841223527641251,0.0419,5.909864716230627e+26,53062.0,4567.5,True,False,True,1.1422240090645903e+18,4.852776143966477e+50,1.0053126643486413e+17,5.890114065669803e+49,1.0053126643486413e+17,5.890114065669803e+49,2,True,True
1,SDSSJ1241,57959.0,3.884762031186496,0.08751749261952435,0.5168068364455061,1.1762755596950756,0.027492690238310802,0.03782882207731575,8.981877815793963,0.02064363266291913,0.1442868817734393,0.0419,5.909864716230627e+26,53062.0,4897.0,False,False,True,5.228137984550076e+17,3.339221982825666e+50,2978461960830336.0,8.53861198294998e+48,2978461960830336.0,8.53861198294998e+48,2,True,True
2,SDSSJ1241,58754.0,3.962759997091701,0.03218402741485349,0.6382613012140137,0.9067175159995644,0.023966389189939208,0.03351584210606462,9.014307535834295,0.013530332965931535,0.18853248918278886,0.0419,5.909864716230627e+26,53062.0,5692.0,False,False,True,3.5741823493520525e+17,1.6934501769298594e+50,1601174916873600.0,2.3483093863012342e+48,1601174916873600.0,2.3483093863012342e+48,2,True,True
3,SDSSJ1241,59050.0,2.2861245166898847,0.22702732871955922,0.13153825432648558,1.2363030689197918,0.5084054423381126,0.5634228183086404,7.576585771377829,0.9026052651576357,0.8367334576387924,0.0419,5.909864716230627e+26,53062.0,5988.0,True,False,False,1.681246916003253e+19,1.8240942159800087e+50,3.1228715915521106e+18,4.4223630102119906e+49,3.1228715915521106e+18,4.4223630102119906e+49,2,True,True
